Title Searched,Year Searched,Director Searched,Publication,Score,Critic,Snippet,Date Written
MISERICORDIA,2024,Alain Guiraudie,The New Yorker,80,Richard Brody,"Misericordia is, fundamentally, a snappy and satisfying entertainment, a thriller that thrills.","Mar 24, 2025"
MISERICORDIA,2024,Alain Guiraudie,The Irish Times,80,Tara Brady,"The director of Stranger by the Lake returns to the deadpan, sexually unstable working-class environs that have shaped many of his previous films with this pleasingly confounding tale of displaced characters and desires.","Mar 26, 2025"
MISERICORDIA,2024,Alain Guiraudie,Slant Magazine,75,Brad Hanford,"Misericordia finds Alain Guiraudie revisiting old standbys under a relatively conventional set of aesthetic strategies. Fortunately, the ideas roiling under the former wildman’s newly placid surfaces are as potent as ever.","Sep 10, 2024"
MISERICORDIA,2024,Alain Guiraudie,The A.V. Club,75,Ignatiy Vishnevetsky,"While it lacks the surrealistic and fairy-tale elements that distinguish many of Guiraudie’s films (among them Sunshine For The Poor, Time Has Come, and Staying Vertical), Misericordia is nonetheless pervaded by a casual dreaminess and a disregard for the strictures of realism that leads in some (intentionally) silly directions.","Mar 20, 2025"
MISERICORDIA,2024,Alain Guiraudie,Original-Cin,75,Liz Braun,"Moments of brilliance notwithstanding, the comedy and the dark look at human nature in Misericordia never quite meld. For any student of human nature, that unreliable narrator and the gang of unlikeable characters may eventually wear thin.","Mar 25, 2025"
MISERICORDIA,2024,Alain Guiraudie,The Hollywood Reporter,70,Jordan Mintzer,"The two movies don’t always crystallize into one, and if you’re looking for a credible crime thriller in which everyone behaves logically, Misericordia may not be for you. If, on the other hand, you’re looking for an exploration of repressed sexual desire and religious hypocrisy in backwoods France, Guiraudie’s strange and sober new film does the trick.","May 27, 2024"
MISERICORDIA,2024,Alain Guiraudie,Wall Street Journal,70,Zachary Barnes,"By its end, “Misericordia” emerges as a drama by turns chilling and absurd, with some of its twists daring us toward incredulity. Yet Mr. Guiraudie’s mix of mischief-making and straight-faced conviction keeps us continuously unsettled, and continuously curious.","Mar 20, 2025"
MISERICORDIA,2024,Alain Guiraudie,Paste Magazine,68,Jim Vorel,"At times arrestingly suspenseful, at others bitterly funny, but often inert in its transitions, Misericordia is an occasionally confounding mixed bag, but one that stands out for the realistic recriminations of a place where grievances run deep and mercy comes with strings attached.","Mar 21, 2025"
JULIE KEEPS QUIET,2024,Leonardo Van Dijl,The New York Times,80,Nicolas Rapold,It’s a film that maintains that Julie’s story is available only when she’s ready to tell it.,"Mar 27, 2025"
JULIE KEEPS QUIET,2024,Leonardo Van Dijl,RogerEbert.com,75,Monica Castillo,"Leonardo van Dijl’’s “Julie Keeps Quiet” is more about what is left unsaid than what’s spoken. Co-written by van Dijl and Ruth Becquart, the film is a quiet drama about keeping secrets buried within and what happens when details finally come to light.","Mar 28, 2025"
FIRST REFORMED,2018,Paul Schrader,Slant Magazine,100,Greg Cwik,"After more than 20 features, Paul Schrader has been reborn with First Reformed, an unhurried, furious, deeply agonized look at faith and skepticism that’s as reverent as it is blasphemous.","May 11, 2018"
FIRST REFORMED,2018,Paul Schrader,Village Voice,100,Alan Scherstuhl,"The conflicts Schrader exposes are too pressing, too raw, too obvious in their own right to demand subtlety. That makes First Reformed a fascinating work of almost mixed media: Ingmar Bergman and Robert Bresson meet outraged editorial cartooning meet the it-always-builds-to-violence pulp sensibility of the movie brats. The mix is volatile, enraging, entrancing.","May 16, 2018"
FIRST REFORMED,2018,Paul Schrader,Movie Nation,100,Roger Moore,"It’s a powerful, disturbing crisis of faith drama that takes on the raiments of a thriller, and a tour de force for the understated acting of Ethan Hawke.","May 16, 2018"
FIRST REFORMED,2018,Paul Schrader,The New York Times,100,A.O. Scott,"It is the portrait of a soul in torment, all the more powerful for being so rigorously conceived and meticulously executed.","May 17, 2018"
FIRST REFORMED,2018,Paul Schrader,The Seattle Times,100,J.R. Kinnard,"Schrader dissects the roots, hypocrisies and virtues of Christianity through a series of increasingly troubling symbols.... Not an easy watch, but required viewing for ambitious cinephiles.","May 17, 2018"
FIRST REFORMED,2018,Paul Schrader,RogerEbert.com,100,Godfrey Cheshire,"A stunning, enrapturing film, a crowning work by one of the American cinema’s most essential artists.","May 18, 2018"
FIRST REFORMED,2018,Paul Schrader,San Francisco Chronicle,100,Mick LaSalle,"First Reformed has a confidence about it, the presence of filmmaking consciousness that can’t do wrong, because this time he knows exactly what he wants to say, not only in a general sense, but second by second and shot by shot.","May 23, 2018"
FIRST REFORMED,2018,Paul Schrader,Austin Chronicle,100,Marc Savlov,This knuckle-whitening depiction of a man of God toppling into his own spiritual abyss is one of Schrader’s finest and most excoriating films to date.,"May 23, 2018"
FIRST REFORMED,2018,Paul Schrader,Vanity Fair,100,K. Austin Collins,"Schrader’s film is a wise, shocking, intellectually prodigious masterpiece. It’s a classic Schrader slow burn that seems to reach, in its final moments, for the impossible.","May 24, 2018"
FIRST REFORMED,2018,Paul Schrader,Washington Post,100,Ann Hornaday,"At once ruminative and shocking, godwardly inclined and repellently graphic, First Reformed is indisputably the finest film Schrader has directed since his sensitive adaptation of Russell Banks’s novel “Affliction.”","May 25, 2018"
FIRST REFORMED,2018,Paul Schrader,Vox,100,Alissa Wilkinson,"It’s a remarkable addition to the small but growing canon of American films that aren’t afraid to stare straight into an abyss with all of the implications — moral, ethical, political, and religious — that are required for this moment in our history. First Reformed is a confounding stunner of a movie and richly deserves our full, serious attention.","Jun 14, 2018"
FIRST REFORMED,2018,Paul Schrader,Total Film,100,Jamie Graham,Paul Schrader’s best for 20 years. A stunning study of one man’s flaws and an apocalyptic vision of mankind’s fate.,"Jul 9, 2018"
FIRST REFORMED,2018,Paul Schrader,LarsenOnFilm,100,Josh Larsen,"First Reformed manages to be ascetic, poetic, and prophetic. It’s at once centering, thrilling, and disturbing.","Feb 6, 2019"
FIRST REFORMED,2018,Paul Schrader,The Atlantic,95,David Sims,"The result is an embittered look at our world through the eyes of someone who’s increasingly horrified to be a part of it, and a film that’s one of the most searing cinema experiences of the year.","May 21, 2018"
FIRST REFORMED,2018,Paul Schrader,IndieWire,91,Eric Kohn,The movie’s conclusion pits religion against personal desire in remarkably visceral terms.,
FIRST REFORMED,2018,Paul Schrader,Variety,90,Owen Gleiberman,"In First Reformed, Paul Schrader courts respectability and leaves it in the dust, getting stoned on excess. But make no mistake: He’s still one hell of a filmmaker.",
FIRST REFORMED,2018,Paul Schrader,Time,90,Stephanie Zacharek,"Part of the movie’s understated triumph lies in its casting: Hawke is an actor who clearly cares, and worries, a lot–the tree of life is practically etched into his forehead.","May 17, 2018"
FIRST REFORMED,2018,Paul Schrader,Wall Street Journal,90,Joe Morgenstern,"Grapples with eternal questions of faith, to be sure, but confronts just as powerfully, if not more so, the urgent matter of how to live a good, useful life in the turbulent here and the terrifying now. First Reformed has its steeple in the clouds and its foundation on solid ground.","May 17, 2018"
FIRST REFORMED,2018,Paul Schrader,Los Angeles Times,90,Justin Chang,"It is an exquisite piece of filmmaking and also a blunt, pulpy instrument, a despairing, fully sustained howl of a movie that is easily this director's finest work in years.","May 17, 2018"
FIRST REFORMED,2018,Paul Schrader,ScreenCrush,90,E. Oliver Whitney,"First Reformed is the type of film that leaves you with more profound questions than answers. You’ll probably need to see it two, maybe three times to really soak it up, but even after a single viewing, it left me completely awestruck.","May 17, 2018"
FIRST REFORMED,2018,Paul Schrader,Arizona Republic,90,Bill Goodykoontz,"Paul Schrader’s First Reformed is an amazing examination of faith, a film that stays with you long after you have left the theater.","May 24, 2018"
FIRST REFORMED,2018,Paul Schrader,The Associated Press,88,Lindsey Bahr,"Harrowing, but with a wry humor, and utterly transporting, Paul Schrader has synthesized his complex religious upbringing with modern anxieties into a trenchant portrait of tormented souls in First Reformed.","May 17, 2018"
FIRST REFORMED,2018,Paul Schrader,Rolling Stone,88,Peter Travers,"Not only is this faith-in-crisis drama one of the legendary writer-director's most incendiary films ever, it's one of the year's very best – a cinematic whirlwind that leaves you both exhilarated and spent.","May 17, 2018"
FIRST REFORMED,2018,Paul Schrader,Chicago Sun-Times,88,Richard Roeper,"With First Reformed, Schrader delivers his most impactful work in years, with Ethan Hawke’s haunting and brilliant work as Ernst Toller joining the ranks of great lead performances in Schrader films. This is an inescapably memorable and at times almost unbearably sorrowful piece of work.","May 23, 2018"
FIRST REFORMED,2018,Paul Schrader,Chicago Tribune,88,Michael Phillips,"An act of spiritual inquiry, a coolly assured example of cinematic scholarship in subtly deployed motion and one of the strongest pictures of 2018.","May 24, 2018"
FIRST REFORMED,2018,Paul Schrader,The Globe and Mail (Toronto),88,John Semley,First Reformed may well be the ultimate auteur object for Schrader apostles. But ultimately its sheer archness reveals Paul Schrader as a gifted and deeply persuasive evangelist of the transcendental style – if not quite a canon saint.,"May 30, 2018"
FIRST REFORMED,2018,Paul Schrader,St. Louis Post-Dispatch,88,Calvin Wilson,"In one of his best roles, Hawke is galvanizing as a man who has lost his way and is desperately searching for meaning in his life. And as Mary, Seyfried turns in a poignant and beautifully nuanced performance. Provocative and mesmerizing, First Reformed is a film that demands to be seen.","May 31, 2018"
FIRST REFORMED,2018,Paul Schrader,Philadelphia Daily News,88,Gary Thompson,"A spare, meticulously crafted movie.","May 31, 2018"
FIRST REFORMED,2018,Paul Schrader,TheWrap,85,Alonso Duralde,"Paul Schrader has always been a faith-based filmmaker in the truest and most challenging sense, and First Reformed is the sort of stimulating work that a writer-director of a certain age can deliver when he returns to his creative sweet spot; rejoice, Schrader fans, rejoice.",
FIRST REFORMED,2018,Paul Schrader,Paste Magazine,85,Dom Sinacola,"It’s a gorgeous film, mourning the impossibility of being alive as it celebrates that which binds us, a conscious-rattling, viscera-stirring piece of art.","May 23, 2018"
FIRST REFORMED,2018,Paul Schrader,The Playlist,83,Rodrigo Perez,"Full of conviction, First Reformed feels like a lifetime of preoccupations and traumas distilled beautifully, accompanied with a haunting sparseness creating a profound deliverance.",
FIRST REFORMED,2018,Paul Schrader,The A.V. Club,83,Ignatiy Vishnevetsky,"The film itself, shot in Academy ratio in the dead of winter, is quieter and more sensitive than anything else Schrader has directed, with Ethan Hawke giving one of his finest and most moving performances in the lead role.",
FIRST REFORMED,2018,Paul Schrader,The Film Stage,83,Ethan Vestby,First Reformed...may be the full realization of Schrader’s vision.,
FIRST REFORMED,2018,Paul Schrader,Consequence,83,Randall Colburn,"Hawke is too committed for Toller’s humanity to not shine through. It’s a layered, transformative performance, his gritting, introverted Toller bearing no traces of the rambling, loose-limbed Hawke of Richard Linklater’s canon.","Mar 15, 2018"
FIRST REFORMED,2018,Paul Schrader,CineVue,80,John Bleasdale,"Hawke's performance is his most mature to date, a masterpiece of a man who cannot work himself out and yet is compelled to try.",
FIRST REFORMED,2018,Paul Schrader,Screen Daily,80,Tim Grierson,"Thoughtful, moving, overreaching and uncompromising, First Reformed is a tremendously tormented work from writer-director Paul Schrader.",
FIRST REFORMED,2018,Paul Schrader,The Telegraph,80,Robbie Collin,"First Reformed doesn’t come off as pastiche, or a raking-up of old ideas – largely because Schrader and his cast commit to the project with sharpened and unblinking seriousness, even when the going gets mesmerically weird.",
FIRST REFORMED,2018,Paul Schrader,Empire,80,Ian Freer,"Schrader’s best in yonks, a powerful meditation on faith’s place in the modern world. Hawke, as a kind of Travis Bickle in a dog collar, gives one of the performances of the year.","Jul 16, 2018"
FIRST REFORMED,2018,Paul Schrader,Entertainment Weekly,75,Chris Nashawaty,"First Reformed is a bleak, punishing movie and the furthest thing imaginable from an easy crowdpleaser. But Hawke juices it with an austere sense of grace.","May 18, 2018"
FIRST REFORMED,2018,Paul Schrader,Uproxx,75,Vince Mancini,"First Reformed is bleak and bone dry, a little self-indulgent, and it screams neither “fun” nor “production values.” It is the opposite of a “romp.” But damned if it doesn’t stay with you.","May 24, 2018"
FIRST REFORMED,2018,Paul Schrader,The Hollywood Reporter,70,Todd McCarthy,"The movie's concerns are obvious, not subtle, and while intellectual energy abounds, laying in subtext, building underlying tension physical and creating visual dynamism are not Schrader's strong suits.",
FIRST REFORMED,2018,Paul Schrader,The New Yorker,70,Anthony Lane,"Nobody, not even a hard-core Schrader fan, could claim that First Reformed makes for easy listening, or viewing. If anything, it outstrips its predecessors in severity.","May 14, 2018"
FIRST REFORMED,2018,Paul Schrader,New York Magazine (Vulture),70,David Edelstein,"First Reformed is rigorously austere (as befits the author of Transcendental Style in Film), but every frame suggests a longing for a world elsewhere. It could be argued that it gets away from Schrader, who probably had to wrest the script from his own hands to begin shooting.","May 16, 2018"
FIRST REFORMED,2018,Paul Schrader,Christian Science Monitor,67,Peter Rainer,"Schrader’s chief influence here, as in many of his other films, is the great French director Robert Bresson, especially his “Diary of a Country Priest.” But Bresson’s spare stylistics achieved a sublimity while Schrader’s, though intermittently powerful, too often feel schematic.","May 18, 2018"
FIRST REFORMED,2018,Paul Schrader,Boston Globe,63,Tom Russo,Hawke delivers a strong melancholy variation on his familiar emotional cool as Reverend Toller.,"Jun 14, 2018"
FIRST REFORMED,2018,Paul Schrader,The Guardian,60,Xan Brooks,"First Reformed is a deeply felt, deeply thought picture; impressive in its seriousness and often gripping in the way it frames itself as a debate and a sermon.",
FIRST REFORMED,2018,Paul Schrader,Time Out,60,Joshua Rothkopf,"The plot takes a timely turn toward homegrown terrorism, and even as cinematographer Alexander Dynan amasses ominous clouds, the film’s break from head-bound matters is a tonic.","May 17, 2018"
FIRST REFORMED,2018,Paul Schrader,New Orleans Times-Picayune,40,Mike Scott,"Admittedly, I'm in the minority here, with many other critics swooning over First Reformed and the big questions it raises. Regardless, the biggest question I had after watching it was simple: What the hell did I just witness?","Jun 14, 2018"
LATE SPRING,1949,Yasujirô Ozu,The A.V. Club,100,Ignatiy Vishnevetsky,"Each shot in Late Spring is striking on its own; the mature Ozu belongs to that rare category of filmmakers whose work can be recognized from a single frame. But together—with all their abrupt shifts in visual perspective and time—they become a mosaic, deeply poignant and ultimately mysterious in the way it envisions a relationship between two people trapped by how much they care for one another.",
LATE SPRING,1949,Yasujirô Ozu,Chicago Sun-Times,100,Roger Ebert,Late Spring is one of the best two or three films Ozu ever made.,
LATE SPRING,1949,Yasujirô Ozu,IndieWire,100,Oliver Lyttelton,"It could, from premise alone, sound like an Austen-ish comedy of manners, and perhaps the film that Ozu might have made early in his career. Here, though, it’s an immaculate, gentle drama in which society gets in the way of the happiness of a father and daughter, and growing up and moving away isn’t so much a victory as a bitter cost of time and change.",
LATE SPRING,1949,Yasujirô Ozu,Paste Magazine,100,Robert Davis,An understated masterpiece,
LATE SPRING,1949,Yasujirô Ozu,Village Voice,100,Stuart Byron,"You either get it or you don't. I get it. At least until I see some Ozus I've missed, Late Spring seems to me his greatest achievement, and, thus, one of the 10 best films of all time. [17 Aug 1972, p.57]",
LATE SPRING,1949,Yasujirô Ozu,TV Guide Magazine,100,Staff (Not Credited),"One is left with an overwhelming sense of knowledge about these characters and of human nature, and finally, a recognition of the profound sadness of everyday life. LATE SPRING is truly transcendent.",
LATE SPRING,1949,Yasujirô Ozu,Chicago Tribune,100,Michael Wilmington,"The actors who play these parts--Chishu Ryu as the father and Setsuko Hara as the daughter--are the most emblematic members of Ozu's famous stock company. Her warm beauty and his stoic rigor--and the frequent smiles both use to cover their feelings--convey oceans of meaning beneath the drama's polite, humorous, carefully etched surface, where immaculate interiors and lovely scenery reflect a world in very delicate balance. [07 Jan 2005, p.C2]",
LATE SPRING,1949,Yasujirô Ozu,Christian Science Monitor,100,David Sterritt,"Superb performances by Setsuko Hara and the great Chishu Ryu also contribute to the film's impact, which is at once deeply moving and profoundly thoughtful about moral and spiritual issues. [10 Nov 1994, p.12]",
LATE SPRING,1949,Yasujirô Ozu,San Francisco Chronicle,100,G. Allen Johnson,"To watch Ozu's films is to watch elegant simplicity, although they are meticulously complex. It's even a relaxing experience - you can almost feel your heart rate lowering - yet there is much human drama on the screen, and much wisdom.",
LATE SPRING,1949,Yasujirô Ozu,Chicago Reader,90,Dave Kehr,"Yasujiro Ozu’s 1949 film inaugurated his majestic late period: it’s here that he decisively renounces melodrama (and, indeed, most surface action of any kind) and lets his camera settle into the still, long-take contemplation of his gently drawn characters.",
LATE SPRING,1949,Yasujirô Ozu,The New Yorker,90,Richard Brody,"Rigid formality leaves much unsaid in Yasujiro Ozu’s 1949 film, but the director reveals the hidden depths of ordinary life with a quiet astonishment and observes his characters with an exacting subtlety of expression.",
LATE SPRING,1949,Yasujirô Ozu,The Independent,90,Kevin Harley,"As in Tokyo Story, the climax is quietly devastating and piercing in its truthfulness. [27 Sep 2012, p.46]",
LATE SPRING,1949,Yasujirô Ozu,LarsenOnFilm,88,Josh Larsen,"We observe family dynamics that could take place in any home, at any time; as Noriko and Shukichi tentatively negotiate the future of their family, they’re enacting a story that’s both distinct to post-war Japan and straight from the pages of Jane Austen.",
LATE SPRING,1949,Yasujirô Ozu,Slant Magazine,88,Jaime N. Christley,"Few films have expressed, with as much force and lyricism as Ozu’s Late Spring, the various emotions (melancholy, bittersweet joy, impassioned regret, taciturn resignation) associated with the ongoing, perpetual dissolution of “the world as we know it.”",
LATE SPRING,1949,Yasujirô Ozu,Portland Oregonian,88,Staff (Not Credited),"It’s considered the first of Ozu’s string of late-career masterpieces, which makes it a must-see for any fan of cinema. [10 Jun 2016]",
LATE SPRING,1949,Yasujirô Ozu,The New York Times,80,Vincent Canby,"Ozu's recognition of the wall of skin separating the mind of the character from the viewer is an integral part of his philosophy. It amounts to a profound respect for their privacy, for the mystery of their emotions. Because of this—not in spite of this—his films, of which Late Spring is one of the finest, are so moving.",
LATE SPRING,1949,Yasujirô Ozu,Time Out,80,Staff (Not Credited),"This is a remarkable, piercing film, and central to an understanding of Ozu's work.",
LATE SPRING,1949,Yasujirô Ozu,Empire,60,Kim Newman,"Not as affecting as Ozu's classic Tokyo Story, Late Spring still charms with it's similar theme of development of the parental bond as the children mature and become more independent. Although well acted, the visual are equally arresting but when the themes are so similar a new approach is required to keep it interesting.",
ERIC LARUE,2024,Michael Shannon,The Hollywood Reporter,80,David Rooney,"There’s no escaping the fact that Eric Larue is a downer, but it’s a work of thoughtful intelligence and restraint, elegantly shot and graced by a striking score from Jonathan Mastro full of dissonant strings that often evoke a sense of nerves about to shatter. Most of all, it’s beautifully acted.","Mar 25, 2025"
ERIC LARUE,2024,Michael Shannon,IndieWire,75,Samantha Bergeson,"Playwright and frequent Shannon collaborator Neveu adapted his own play for the screen, and Shannon’s sensitive direction makes Eric LaRue a haunting, standout film with a career-best performance from Greer.","Jun 12, 2023"
ERIC LARUE,2024,Michael Shannon,Screen Rant,70,Patrice Witherspoon,Shannon and Neveu’s compassionate display of understanding different perspectives when it comes to something as tragic as a school shooting is simply beautiful storytelling.,"Jun 22, 2023"
ERIC LARUE,2024,Michael Shannon,The Playlist,67,Marshall Shaffer,"Shannon’s first feature might begin to sag under the weight of this stilted dialogue and stunted duration, but there is still a lot to admire in Eric Larue. Those qualities are not necessarily all concentrated in Judy Greer, either. Even if the film moves in circles, at least it’s circling something honest and true about spirituality and society alike.","Jun 12, 2023"
ERIC LARUE,2024,Michael Shannon,LarsenOnFilm,63,Josh Larsen,"At its best, Eric LaRue interrogates the rush to healing and forgiveness that can sometimes follow tragedy in Christian communities.","Apr 2, 2025"
ERIC LARUE,2024,Michael Shannon,The A.V. Club,58,Brianna Zigler,"Though carried by a subtle and strenuous performance from Greer, Eric LaRue‘s intentionally unanswered questions do less to provoke than render the film a collage of well-meaning, half-finished sentiments.","Apr 2, 2025"
ERIC LARUE,2024,Michael Shannon,Collider,50,Taylor Gates,"There are several interesting ideas and stories floating around Eric LaRue, but Shannon can’t seem to decide which ones to focus on. While there are some genuinely fantastic, inspired moments, they frustratingly never quite come together, leading to a baffling viewing experience. Hopefully, Greer will get another chance in the spotlight of a more worthy film.","Jun 15, 2023"
ERIC LARUE,2024,Michael Shannon,Slant Magazine,50,Pat Brown,"While the film features a strong performance from Judy Greer, it’s essentially a patchwork of broad strokes that rarely feel like they’re bringing its world to credible life.","Apr 1, 2025"
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,Chicago Sun-Times,100,Roger Ebert,"The most unconventional biopic I've ever seen, and one of the best.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,The A.V. Club,100,Nathan Rabin,"Calling Schrader's masterpiece a mere biopic doesn't do it justice. It's more a dreamy, hypnotic meditation on the tragic intersection of Mishima's oeuvre and existence that takes place as much in its subject's fevered imagination as the outside world.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,Variety,100,Peter Debruge,"Beautiful, yet flawed film.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,Time Out,100,Tom Huddleston,"Graced with a throbbing orchestral score from Philip Glass and John Bailey’s luminous photography, this is appropriately monumental filmmaking.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,The New Yorker,100,Michael Sragow,One of the most gorgeous and sophisticated portraits of an artist ever put on film.,
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,Chicago Tribune,100,Gene Siskel,"One of the year`s boldest, most successful films, a film full of ideas that challenges us to examine how we conduct our lives, while at the same time dazzling us with extraordinary visuals.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,The Globe and Mail (Toronto),100,Jay Scott,"Can a film that raises more questions about its subject than it answers be considered a masterpiece? If it can, that film is Paul Schrader's innovative cinematic biography of the Japanese novelist, essayist and actor Yukio Mishima, the man who in 1970 committed public seppuku (hara-kiri) in an unprecedented, grandiloquent attempt to turn his life into art. [12 Sep 1985]",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,Village Voice,90,Nick Pinkerton,"A sumptuous austerity, paralleling Mishima’s disciplined decadence.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,The Guardian,80,Peter Bradshaw,"An ambitious, respectful account of the life and work of Yukio Mishima, the prolific Japanese author who made a romantic cult of Japan's lost world of martial glory and spartan warrior-manhood.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,Los Angeles Times,80,Sheila Benson,"A beautiful, deadly serious attempt by Paul and Leonard Schrader to illuminate the life--and death--of one of Japan's most highly visible and self-propelling enigmas.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,TV Guide Magazine,75,Staff (Not Credited),"Mishima's most stunning aspect is the visual style employed in the dramatizations of the novels. With colorful, theatrical sets by famed Japanese designer Eiko Ishioka, the sequences are quite unique and impressive in their own right, and the entire film is photographed beautifully by John Bailey.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,Newsweek,70,David Ansen,"This handsomely shot movie, with its throbbing Philip Glass score, has a kind of perverse integrity; its mixture of the art house and the hothouse is pure Schrader. I'm not sure whom this movie is made for, but you've got to admire the chutzpah of the man who got it made. [23 Sep 1985, p.68]",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,The Telegraph,60,David Gritten,"There’s a coldness in Schrader’s calculations, and disturbingly he seems to swallow the entire myth of Mishima, an extreme right-wing nutjob who wanted to return Japan to samurai values. Philip Glass’s score, however, still takes the breath away.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,The New York Times,50,Vincent Canby,"Here is an American film, in Japanese with English subtitles, written, directed and photographed by Americans, made in Japan with a Japanese cast, which attempts to reveal the spiritual mysteries of a quintessentially Japanese phenomenon. That it doesn't succeed is almost a foregone conclusion. What is surprising, however, is that Mishima is as tolerable as it is, given all the strikes against it.",
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,Washington Post,50,Paul Attanasio,"Mishima tries to make sense of both its subject's life and his work, and ends up illuminating neither.",
AMERICAN GIGOLO,1980,Paul Schrader,Chicago Sun-Times,88,Roger Ebert,The whole movie has a winning sadness about it; take away the story's sensational aspects and what you have is a study in loneliness.,
AMERICAN GIGOLO,1980,Paul Schrader,The Globe and Mail (Toronto),88,Jay Scott,An inspired variation on his familiar theme: the whore with a heart of gold is a man. [2 Feb 1980],
AMERICAN GIGOLO,1980,Paul Schrader,TV Guide Magazine,75,Staff (Not Credited),"Abandoning the gritty realism of his first two films, BLUE COLLAR and HARDCORE, screenwriter-turned-director Schrader here adopted a sleek and stylish approach. The result was one of his most satisfying attempts to mesh a European sensibility and his own obsession with moral drift and emotional alienation.",
AMERICAN GIGOLO,1980,Paul Schrader,Time Out London,50,Staff (Not Credited),"Unfortunately, the film is so determinedly stylish (Gere's costumes, Giorgio Moroder's soundtrack, John Bailey's noir-inflected camerawork), and the performances generally so vacuous (only Elizondo's detective really breathes), that it all becomes something of an academic, if entertaining, exercise that fails to stir the emotions.",
AMERICAN GIGOLO,1980,Paul Schrader,Variety,40,Staff (Not Credited),"A hot subject, cool style and overly contrived plotting don’t all mesh in American Gigolo. Paul Schrader’s third outing as a director is betrayed by a curious, uncharacteristic evasiveness at its core.",
AMERICAN GIGOLO,1980,Paul Schrader,Washington Post,40,Judith Martin,"This is basically a story about the pastime of shopping as an antidote to boredom, only the shopper has wandered into a cocktail lounge, instead of a store, and is looking for something live, or nearly so, to try on. That any human activity worth considering should ensue from this situation would be ridiculous to expect. [8 Feb 1980, p.20]",
