Title Searched,Title Result,Titles Fuzzy Sim,Titles Cosine Sim,Year Searched,Year Result,Director Searched,Director Result,Directors Fuzzy Sim,Directors Cosine Sim,Link
Fallen Leaves,Fallen Leaves,1.0,1.0,2023,2023,Aki Kaurismäki,Aki Kaurismäki,1.0,1.0,/movie/fallen-leaves/
Portrait of a Lady on Fire,Portrait of a Lady on Fire,1.0,1.0,2019,2019,Céline Sciamma,Céline Sciamma,1.0,1.0,/movie/portrait-of-a-lady-on-fire/
Before Sunrise,Before Sunrise,1.0,1.0,1995,1995,Richard Linklater,Richard Linklater,1.0,1.0,/movie/before-sunrise/
Rye Lane,Rye Lane,1.0,1.0,2023,2023,Raine Allen-Miller,Raine Allen-Miller,1.0,1.0,/movie/rye-lane/
Past Lives,Past Lives,1.0,1.0,2023,2023,Celine Song,Celine Song,1.0,1.0,/movie/past-lives/
You Hurt My Feelings,You Hurt My Feelings,1.0,1.0,2023,2023,Nicole Holofcener,Nicole Holofcener,1.0,1.0,/movie/you-hurt-my-feelings-2023/
Crazy Rich Asians,Crazy Rich Asians,1.0,1.0,2018,2018,Jon M. Chu,Jon M. Chu,1.0,1.0,/movie/crazy-rich-asians/
Pride & Prejudice,Pride & Prejudice,1.0,1.0,2005,2005,Joe Wright,Joe Wright,1.0,1.0,/movie/pride-prejudice/
Decision to Leave,Decision to Leave,1.0,1.0,2022,2022,Park Chan-wook,Park Chan-wook,1.0,1.0,/movie/decision-to-leave/
Drive My Car,Drive My Car,1.0,1.0,2021,2021,Ryûsuke Hamaguchi,Ryûsuke Hamaguchi,1.0,1.0,/movie/drive-my-car/
The Worst Person in the World,The Worst Person in the World,1.0,1.0,2021,2021,Joachim Trier,Joachim Trier,1.0,1.0,/movie/the-worst-person-in-the-world/
Your Name,Your Name.,0.95,1.0,2017,2016,Luca Guadagnino,Makoto Shinkai,0.28,0.0,/movie/your-name/
Your Name,Call Me by Your Name,0.62,0.632,2017,2017,Luca Guadagnino,Luca Guadagnino,1.0,1.0,/movie/call-me-by-your-name/
Your Name,Yourself and Yours,0.44,0.0,2017,2016,Luca Guadagnino,Hong Sang-soo,0.29,0.0,/movie/yourself-and-yours/
Your Name,I Am Not Your Negro,0.5,0.354,2017,2016,Luca Guadagnino,Raoul Peck,0.16,0.0,/movie/i-am-not-your-negro/
Palm Springs,Palm Springs,1.0,1.0,2020,2020,Max Barbakow,Max Barbakow,1.0,1.0,/movie/palm-springs/
Gremlins,Gremlins,1.0,1.0,1984,1984,Joe Dante,Joe Dante,1.0,1.0,/movie/gremlins/
Mad God,Mad God,1.0,1.0,2021,2021,Phil Tippett,Phil Tippett,1.0,1.0,/movie/mad-god/
The Substance,The Substance,1.0,1.0,2024,2024,Coralie Fargeat,Coralie Fargeat,1.0,1.0,/movie/the-substance/
Alien: Romulus,Alien: Romulus,1.0,1.0,2024,2024,Fede Alvarez,Fede Alvarez,1.0,1.0,/movie/alien-romulus/
Oddity,Oddity,1.0,1.0,2024,2024,Damian Mc Carthy,Damian Mc Carthy,1.0,1.0,/movie/oddity/
Piggy,Piggy,1.0,1.0,2022,2022,Carlota Pereda,Carlota Pereda,1.0,1.0,/movie/piggy/
Talk to Me,Talk to Me,1.0,1.0,2022,2022,"Danny Philippou, Michael Philippou","Danny Philippou, Michael Philippou",1.0,1.0,/movie/talk-to-me-2022/
Barbarian,Barbarian,1.0,1.0,2022,2022,Zach Cregger,Zach Cregger,1.0,1.0,/movie/barbarian/
M3GAN,M3GAN,1.0,1.0,2022,2022,Gerard Johnstone,Gerard Johnstone,1.0,1.0,/movie/m3gan/
Bodies Bodies Bodies,Bodies Bodies Bodies,1.0,1.0,2022,2022,Halina Reijn,Halina Reijn,1.0,1.0,/movie/bodies-bodies-bodies/
Under the Skin,Under the Skin,1.0,1.0,2013,2013,Jonathan Glazer,Jonathan Glazer,1.0,1.0,/movie/under-the-skin/
Hellraiser,Hellraiser,1.0,1.0,1987,2022,Clive Barker,David Bruckner,0.54,0.0,/movie/hellraiser-2022/
Hellraiser,Hellraiser,1.0,1.0,1987,1987,Clive Barker,Clive Barker,1.0,1.0,/movie/hellraiser/
Possessor,Possessor Uncut,0.75,0.707,2020,2020,Brandon Cronenberg,Brandon Cronenberg,1.0,1.0,/movie/possessor-uncut/
Gladiator,Gladiator,1.0,1.0,2000,2000,Ridley Scott,Ridley Scott,1.0,1.0,/movie/gladiator/
Godzilla Minus One,Godzilla Minus One,1.0,1.0,2023,2023,Takashi Yamazaki,Takashi Yamazaki,1.0,1.0,/movie/godzilla-minus-one/
Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,1.0,1.0,2024,2024,George Miller,George Miller,1.0,1.0,/movie/furiosa-a-mad-max-saga/
Civil War,Civil War,1.0,1.0,2024,2024,Alex Garland,Alex Garland,1.0,1.0,/movie/civil-war/
The Killer,The Killer,1.0,1.0,2023,2024,David Fincher,"John Wo, John Woo",0.13,0.0,/movie/the-killer-2024/
The Killer,The Killer,1.0,1.0,2023,2023,David Fincher,David Fincher,1.0,1.0,/movie/the-killer-2023/
RoboCop,RoboCop,1.0,1.0,1987,1987,Paul Verhoeven,Paul Verhoeven,1.0,1.0,/movie/robocop/
Violent Night,Violent Night,1.0,1.0,2022,2022,Tommy Wirkola,Tommy Wirkola,1.0,1.0,/movie/violent-night/
You Were Never Really Here,You Were Never Really Here,1.0,1.0,2017,2017,Lynne Ramsay,Lynne Ramsay,1.0,1.0,/movie/you-were-never-really-here/
Dredd,Dredd,1.0,1.0,2012,2012,Pete Travis,Pete Travis,1.0,1.0,/movie/dredd/
Kimi,Kimi,1.0,1.0,2022,2022,Steven Soderbergh,Steven Soderbergh,1.0,1.0,/movie/kimi/
Sisu,Sisu,1.0,1.0,2022,2022,Jalmari Helander,Jalmari Helander,1.0,1.0,/movie/sisu/
Emily the Criminal,Emily the Criminal,1.0,1.0,2022,2022,John Patton Ford,John Patton Ford,1.0,1.0,/movie/emily-the-criminal/
Nobody,Nobody,1.0,1.0,2021,2021,Ilya Naishuller,Ilya Naishuller,1.0,1.0,/movie/nobody/
Casino Royale,Casino Royale,1.0,1.0,2006,2006,Martin Campbell,Martin Campbell,1.0,1.0,/movie/casino-royale/
Flow,Flow,1.0,1.0,2024,2024,Gints Zilbalodis,Gints Zilbalodis,1.0,1.0,/movie/flow/
Howl's Moving Castle,Howl's Moving Castle,1.0,1.0,2004,2004,Hayao Miyazaki,Hayao Miyazaki,1.0,1.0,/movie/howls-moving-castle/
Pokemon Detective Pikachu,Pokémon Detective Pikachu,0.96,0.667,2019,2019,Rob Letterman,Rob Letterman,1.0,1.0,/movie/pokemon-detective-pikachu/
Pokemon 2000,Pokémon: The Movie 2000,0.63,0.354,2000,1999,Richard Dipirro,Kunihiko Yuyama,0.27,0.0,/movie/pokemon-the-movie-2000/
Pokemon 2000,,,,2000,,Richard Dipirro,,,,
The Last Unicorn,The Last Unicorn,1.0,1.0,1982,1982,"Jules Bass, Arthur Rankin Jr.","Jules Bass, Arthur Rankin Jr.",1.0,1.0,/movie/the-last-unicorn/
Princess Mononoke,Princess Mononoke,1.0,1.0,1997,1997,Hayao Miyazaki,Hayao Miyazaki,1.0,1.0,/movie/princess-mononoke/
Millennium Actress,Millennium Actress,1.0,1.0,2001,2001,"Satoshi Kon, Kô Matsuo","Satoshi Kon, Kô Matsuo",1.0,1.0,/movie/millennium-actress/
Akira,Akira,1.0,1.0,1988,1988,Katsuhiro Ôtomo,Katsuhiro Ôtomo,1.0,1.0,/movie/akira/
All the Beauty and the Bloodshed,All the Beauty and the Bloodshed,1.0,1.0,2022,2022,Laura Poitras,Laura Poitras,1.0,1.0,/movie/all-the-beauty-and-the-bloodshed/
Ex Machina,Ex Machina,1.0,1.0,2014,2014,Alex Garland,Alex Garland,1.0,1.0,/movie/ex-machina/
Harold & Kumar Go to White Castle,Harold & Kumar Go to White Castle,1.0,1.0,2004,2004,Danny Leiner,Danny Leiner,1.0,1.0,/movie/harold-kumar-go-to-white-castle/
Troll 2,Troll 2,1.0,1.0,1990,1990,Claudio Fragasso,Claudio Fragasso,1.0,1.0,/movie/troll-2/
Tank Girl,Tank Girl,1.0,1.0,1995,1995,Rachel Talalay,Rachel Talalay,1.0,1.0,/movie/tank-girl/
Bean,Bean,1.0,1.0,1997,1997,Mel Smith,Mel Smith,1.0,1.0,/movie/bean/
Twilight,Twilight,1.0,1.0,2008,2008,Catherine Hardwicke,Catherine Hardwicke,1.0,1.0,/movie/twilight/
Black Dynamite,Black Dynamite,1.0,1.0,2009,2009,Scott Sanders,Scott Sanders,1.0,1.0,/movie/black-dynamite/
Starship Troopers,Starship Troopers,1.0,1.0,1997,1997,Paul Verhoeven,Paul Verhoeven,1.0,1.0,/movie/starship-troopers/
The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,1.0,1.0,2015,2015,Guy Ritchie,Guy Ritchie,1.0,1.0,/movie/the-man-from-uncle/
Memories,,,,1995,,"Katsuhiro Ôtomo, Kôji Morimoto, Tensai Okamura",,,,
Kiss Kiss Bang Bang,Kiss Kiss Bang Bang,1.0,1.0,2005,2005,Shane Black,Shane Black,1.0,1.0,/movie/kiss-kiss-bang-bang/
The Boondock Saints,The Boondock Saints,1.0,1.0,1999,1999,Troy Duffy,Troy Duffy,1.0,1.0,/movie/the-boondock-saints/
Blade Runner 2049,Blade Runner 2049,1.0,1.0,2017,2017,Denis Villeneuve,Denis Villeneuve,1.0,1.0,/movie/blade-runner-2049/
X-Men: First Class,X-Men: First Class,1.0,1.0,2011,2011,Matthew Vaughn,Matthew Vaughn,1.0,1.0,/movie/x-men-first-class/
Airplane!,Airplane!,1.0,1.0,1980,1980,"Jim Abrahams, David Zucker, Jerry Zucker","Jim Abrahams, David Zucker, Jerry Zucker",1.0,1.0,/movie/airplane!/
Slumdog Millionaire,Slumdog Millionaire,1.0,1.0,2008,2008,"Danny Boyle, Loveleen Tandan","Danny Boyle, Loveleen Tandan",1.0,1.0,/movie/slumdog-millionaire/
The NeverEnding Story,The NeverEnding Story,1.0,1.0,1984,1984,Wolfgang Petersen,Wolfgang Petersen,1.0,1.0,/movie/the-neverending-story/
Scooby-Doo,Scooby-Doo,1.0,1.0,2002,2002,Raja Gosnell,Raja Gosnell,1.0,1.0,/movie/scooby-doo/
A Knight's Tale,A Knight's Tale,1.0,1.0,2001,2001,Brian Helgeland,Brian Helgeland,1.0,1.0,/movie/a-knights-tale/
Back to the Future,Back to the Future,1.0,1.0,1985,1985,Robert Zemeckis,Robert Zemeckis,1.0,1.0,/movie/back-to-the-future/
Interview with the Vampire,Interview with the Vampire: The Vampire Chronicles,0.68,0.905,1994,1994,Neil Jordan,Neil Jordan,1.0,1.0,/movie/interview-with-the-vampire-the-vampire-chronicles/
Horrible Bosses,Horrible Bosses,1.0,1.0,2011,2011,Seth Gordon,Seth Gordon,1.0,1.0,/movie/horrible-bosses/
Grosse Pointe Blank,Grosse Pointe Blank,1.0,1.0,1997,1997,George Armitage,George Armitage,1.0,1.0,/movie/grosse-pointe-blank/
Mortal Kombat,Mortal Kombat,1.0,1.0,1995,2021,Paul W.S. Anderson,Simon McQuoid,0.19,0.0,/movie/mortal-kombat-2021/
Mortal Kombat,Mortal Kombat,1.0,1.0,1995,1995,Paul W.S. Anderson,Paul W.S. Anderson,1.0,1.0,/movie/mortal-kombat/
