Title Searched,Title Result,Titles Fuzzy Sim,Titles Cosine Sim,Year Searched,Year Result,Director Searched,Director Result,Directors Fuzzy Sim,Directors Cosine Sim,Link
ERIC LARUE,Eric Larue,1.0,1.0,2025,2023,Michael Shannon,Michael Shannon,1.0,1.0,/movie/eric-larue/
3000 NIGHTS,,,,2015,,Mai Masri,,,,
MINGHUN,,,,2024,,Jan P. Matuszynski,,,,
A REAL PAIN,A Real Pain,1.0,1.0,2024,2024,Jesse Eisenberg,Jesse Eisenberg,1.0,1.0,/movie/a-real-pain/
SPARROW,The Sparrow in the Chimney,0.42,0.378,2024,2024,Tomasz Gassowski,Ramon Zürcher,0.14,0.0,/movie/the-sparrow-in-the-chimney/
SPARROW,,,,2024,,Tomasz Gassowski,,,,
YOU BURN ME,You Burn Me,1.0,1.0,2024,2024,Matías Piñeiro,Matías Piñeiro,1.0,1.0,/movie/you-burn-me/
THE ANNIHILATION OF FISH,The Annihilation of Fish,1.0,1.0,1999,1999,Charles Burnett,Charles Burnett,1.0,1.0,/movie/the-annihilation-of-fish/
BLUE COLLAR,Blue Collar,1.0,1.0,1978,1978,Paul Schrader,Paul Schrader,1.0,1.0,/movie/blue-collar/
THE FOUNTAIN,The Fountain,1.0,1.0,2006,2006,Darren Aronofsky,Darren Aronofsky,1.0,1.0,/movie/the-fountain/
INSOMNIA,Insomnia,1.0,1.0,1997,2002,Erik Skjoldbjærg,Christopher Nolan,0.3,0.0,/movie/insomnia/
INSOMNIA,,,,1997,,Erik Skjoldbjærg,,,,
HARDCORE,Hardcore,1.0,1.0,1979,1979,Paul Schrader,Paul Schrader,1.0,1.0,/movie/hardcore-1969/
THE CONFORMIST,The Conformist,1.0,1.0,1970,1970,Bernardo Bertolucci,Bernardo Bertolucci,1.0,1.0,/movie/the-conformist-re-release/
PICKPOCKET,,,,1959,,Robert Bresson,,,,
HUNGER,Hunger,1.0,1.0,2008,2008,Steve McQueen,Steve McQueen,1.0,1.0,/movie/hunger/
POLICE STORY,Police Story (1985),0.77,0.816,1985,1985,Jackie Chan,Jackie Chan,1.0,1.0,/movie/police-story-1985/
AMERICAN GIGOLO,American Gigolo,1.0,1.0,1980,1980,Paul Schrader,Paul Schrader,1.0,1.0,/movie/american-gigolo/
JULIE KEEPS QUIET,Julie Keeps Quiet,1.0,1.0,2024,2024,Leonardo Van Dijl,Leonardo Van Dijl,1.0,1.0,/movie/julie-keeps-quiet/
RED DESERT,Red Desert (1964),0.74,0.816,1964,1964,Michelangelo Antonioni,Michelangelo Antonioni,1.0,1.0,/movie/red-desert-1964/
MISERICORDIA,Misericordia,1.0,1.0,2024,2024,Alain Guiraudie,Alain Guiraudie,1.0,1.0,/movie/misericordia/
CAT PEOPLE,Cat People,1.0,1.0,1982,1982,Paul Schrader,Paul Schrader,1.0,1.0,/movie/cat-people/
DR. STRANGELOVE,,,,2025,,Sean Foley,,,,
MISHIMA: A LIFE IN FOUR CHAPTERS,Mishima: A Life in Four Chapters,1.0,1.0,1985,1985,Paul Schrader,Paul Schrader,1.0,1.0,/movie/mishima-a-life-in-four-chapters/
LIGHT SLEEPER,Light Sleeper,1.0,1.0,1992,1992,Paul Schrader,Paul Schrader,1.0,1.0,/movie/light-sleeper/
GODZILLA MINUS ONE,Godzilla Minus One,1.0,1.0,2023,2023,Takashi Yamazaki,Takashi Yamazaki,1.0,1.0,/movie/godzilla-minus-one/
FIRST REFORMED,First Reformed,1.0,1.0,2018,2017,Paul Schrader,Paul Schrader,1.0,1.0,/movie/first-reformed/
LATE SPRING,Late Spring (1949),0.76,0.816,1949,1949,Yasujiro Ozu,Yasujirô Ozu,0.92,0.5,/movie/late-spring-1949/
HIROSHIMA MON AMOUR,,,,1959,,Alain Resnais,,,,
I AM A COMEDIAN,Who We Are: A Chronicle of Racism in America,0.37,0.0,2022,2021,Fumiari Hyuga,"Emily Kunstler, Sarah Kunstler",0.28,0.0,/movie/who-we-are-a-chronicle-of-racism-in-america/
I AM A COMEDIAN,Joan Baez I Am A Noise,0.49,0.354,2022,2023,Fumiari Hyuga,"Miri Navasky, Maeve O'Boyle, Karen O'Connor",0.25,0.0,/movie/joan-baez-i-am-a-noise/
I AM A COMEDIAN,Poly Styrene: I Am a Cliché,0.43,0.354,2022,2021,Fumiari Hyuga,"Celeste Bell, Paul Sng",0.17,0.0,/movie/poly-styrene-i-am-a-cliche/
I AM A COMEDIAN,,,,2022,,Fumiari Hyuga,,,,
A STATE OF PASSION,,,,2024,,Muna Khalidi,,,,
THE MISSING PICTURE,The Missing Picture,1.0,1.0,2013,2013,Rithy Panh,Rithy Panh,1.0,1.0,/movie/the-missing-picture/
REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,,,,1972,,,,,,
A FIDAI FILM,Made in England: The Films of Powell and Pressburger,0.28,0.0,2024,2024,Kamal Aljafari,David Hinton,0.23,0.0,/movie/made-in-england-the-films-of-powell-and-pressburger/
A FIDAI FILM,An Unfinished Film,0.67,0.408,2024,2024,Kamal Aljafari,Ye Lou,0.2,0.0,/movie/an-unfinished-film/
A FIDAI FILM,Renaissance: A Film by Beyoncé,0.38,0.354,2024,2023,Kamal Aljafari,"Beyoncé, Mark Ritchie, Ed Burke",0.22,0.0,/movie/renaissance-a-film-by-beyonce/
A FIDAI FILM,My First Film,0.64,0.408,2024,2024,Kamal Aljafari,Zia Anger,0.35,0.0,/movie/my-first-film/
A FIDAI FILM,Filmlovers!,0.35,0.0,2024,2024,Kamal Aljafari,Arnaud Desplechin,0.32,0.0,/movie/filmlovers!/
A FIDAI FILM,This Is a Film About the Black Keys,0.34,0.267,2024,2024,Kamal Aljafari,Jeff Dupre,0.25,0.0,/movie/this-is-a-film-about-the-black-keys/
A FIDAI FILM,Shawn Mendes: For Friends And Family Only (A Live Concert Film),0.32,0.224,2024,2024,Kamal Aljafari,"Connor Brashier, Anthony Wilson",0.18,0.0,/movie/shawn-mendes-for-friends-and-family-only-a-live-concert-film/
A FIDAI FILM,2025 Oscar Nominated Short Films: Animation,0.33,0.0,2024,2025,Kamal Aljafari,,,,/movie/2025-oscar-nominated-short-films-animation/
A FIDAI FILM,2025 Oscar Nominated Short Films: Live Action,0.32,0.0,2024,2025,Kamal Aljafari,,,,/movie/2025-oscar-nominated-short-films-live-action/
A FIDAI FILM,,,,2024,,Kamal Aljafari,,,,
YALLA PARKOUR,,,,2024,,Areeb Zuaiter,,,,
BONA,,,,1980,,Lino Brocka,,,,
BOWLING FOR COLUMBINE,Bowling for Columbine,1.0,1.0,2002,2002,Michael Moore,Michael Moore,1.0,1.0,/movie/bowling-for-columbine/
SPACES OF EXCEPTION,Spaceship Earth,0.53,0.0,2019,2020,Malek Rasamny,Matt Wolf,0.27,0.0,/movie/spaceship-earth/
SPACES OF EXCEPTION,,,,2019,,Malek Rasamny,,,,
TO A LAND UNKNOWN,To a Land Unknown,1.0,1.0,2025,2024,Mahdi Fleifel,Mahdi Fleifel,1.0,1.0,/movie/to-a-land-unknown/
THE IMPORTANCE OF BEING EARNEST,The Importance of Being Earnest,1.0,1.0,2025,2002,Max Webster,Oliver Parker,0.25,0.0,/movie/the-importance-of-being-earnest/
THE IMPORTANCE OF BEING EARNEST,The True Beauty of Being Bitten by a Tick,0.53,0.474,2025,2025,Max Webster,Pete Ohs,0.32,0.0,/movie/the-true-beauty-of-being-bitten-by-a-tick/
THE IMPORTANCE OF BEING EARNEST,,,,2025,,Max Webster,,,,
"JANIN, JENIN",,,,2024,,Mohammad Bakri,,,,
