Title,Year,Director,Runtime,Series,Tags,Country,Meta,Link,Show,Description
"BEN AND SUZANNE, A REUNION IN 4 PARTS",2024,Shaun Seneviratne,109,Asian American Showcase,,USA/Sri Lanka,In English and Tamil and Sinhala with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//ben-suzanne,"BEN AND SUZANNE, A REUNION IN 4 PARTS","In BEN AND SUZANNE, A REUNION IN 4 PARTS, after a long separation, Ben Santhanaraj (Sathya Sridharan) journeys to Sri Lanka to rekindle his relationship with an NGO worker, Suzanne Hopper (Anastasia Olowin). But when Suzanne’s boss demands she work during their vacation, their love is tested by desire versus duty. Ben tries everything to revive their intimacy, leading to candid conversations and chaotic twists as New Year’s Eve—and Ben’s departure—looms ahead."
FINDING HOME: AAPI SHORTS,2025,Various directors,79,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//finding-home,FINDING HOME: AAPI SHORTS,"Asian immigrants searching for their place in America, the opportunities found, and the challenges faced along the way are explored in this selection of short films. In SARAṆAM GACCHÂMI (I TAKE REFUGE) (dir. Priyanka Suryaneni, 19 min.), a visionary Buddhist monk who leads one of the Bay Area’s largest Tibetan monasteries, nears retirement. The fictional retelling of the 1885 Chinese Massacre in Rock Springs, Wyoming, is told through the eyes of two Chinese miners in ROCK SPRINGS (dir. David Huang, 15 min.). And 150 years of Chinese immigrant history in Memphis, Tennessee, is explored in BLUFF CITY CHINESE (pictured, dir. Thandi Cai, 45 min.). Dialogue: Select filmmakers in attendance."
FAR AND AWAY: AAPI DOCUMENTARY SHORTS,2025,Various directors,109,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//far-away,FAR AND AWAY: AAPI DOCUMENTARY SHORTS,"The immigrant experience is a journey of distance and time. These shorts ask: what can you take with you, and what must be left behind? In THE VOICE OF BAMBOO (pictured, dir. David Zheng, 15 min.), a Japanese elder shares his journey from a life of crime, to finding peace as a bamboo farmer. TASTING HERITAGE (dir. Emily Strong, 20 min.) is a coming-of-culture story of reclaiming heritage through food. In SWIMMING LESSONS (dir. Meloddy Gao, 22 min.), a daughter of immigrants learns what her parents never taught her. In YOU’RE TOO SENSITIVE (dir. Dan Chen, 11 min.), the director documents a family reunion. DEAR ALOHA (Cris Romento, 15 min.) asks how Native Hawaiians keep the feeling of Aloha in their hearts. In SOME KIND OF JAPANESE (dir. Robyn Tomiko, 18 min.), immigrant identity is explored through the Japanese-American experience. And BALIK/BAYAN (dir. Paula Kiley, 8 min.) chronicles the life of balikbayan box company founder Manny Paez. Dialogue: Select filmmakers in attendance."
BITTERROOT,2024,Vera Brunner-Sung,85,Asian American Showcase,Director In Attendance,USA,In English and Hmong with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//bitterroot,BITTERROOT,"Recently divorced Lue (Wa Yang) lives with his refugee aging mother and keeps to a quiet, steady routine: his maintenance job, working his family mushroom stand at the farmers market, fly fishing on the river, and singing karaoke at the local bar—until things begin to crumble. With a predominantly Hmong cast and crew, BITTERROOT offers a rare glimpse into rural Montana’s Hmong community, set amongst stunning landscapes scorched by last year’s wildfires. Dialogue: Director Vera Brunner-Sung in attendance."
CHOOSING OURSELVES: AAPI QUEER SHORTS,2025,Various directors,105,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//choosing-ourselves,CHOOSING OURSELVES: AAPI QUEER SHORTS,"CHOOSING OURSELVES celebrates the resiliency of the Asian American and Pacific Islander LGBTQ+ community, spanning across generations and borders to bring you stories of love, loss, courage, and realness. In RAT!, after a music journalist accuses a pop star of queerbaiting, their fans seek retribution (dir. Neal Mulani, 17 min.). In REALLY GOOD DRIVER (dir. Alex Song-Xia, 8 min.), a mom teaches her grown child how to drive. A first-generation Afghan-Canadian man takes steps toward his identity in ONE DAY THIS KID (pictured, dir. Alexander Farah, 18 min.). In ICE CREAM, ICE QUEEN (dir. Jeremy Tianyu Chi, 17 min.), two women search for connection. A trans woman navigates a life-altering dilemma in CLEMENTINE (dir. Sally Tran, 15 min.). In THREE (dir. Amie Song, 15 min.), a woman tries to keep her daughter’s secrets from her church friends. And in LOVIN’ HER (dir. day, 15 min.), a trans woman faces the complexities of her fading memory. Dialogue: Select filmmakers in attendance."
NEW WAVE,2025,Elizabeth Ai,88,Asian American Showcase,Director In Attendance,USA,In English and Vietnamese with English and Vietnamese subtitles | Format: Digital,https://www.siskelfilmcenter.org//new-wave,NEW WAVE,"Mile-high hair, synthesized sounds, teenage rebellion. Filmmaker Elizabeth Ai set out to document the rebellious punks of the 1980s Vietnamese New Wave, until she uncovered another story. Behind the musical phenomenon, the Euro-synth dance beats, and punk aesthetics were the broken dreams and unfulfilled expectations that have shaped her community. As Ai digs deeper, her excavation becomes an emotional journey of cultural identity, generational trauma, and the Vietnam War’s lasting impact on generations. Dialogue: Director Elizabeth Ai in attendance."
ROADBLOCKS: AAPI SHORTS,2025,Various directors,111,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//roadblocks,ROADBLOCKS: AAPI SHORTS,"Personal and political roadblocks are navigated in these stories of Asian Americans and Native Hawaiians in different stages of life. In the dark comedy ONE NOTE (dir. Jamie Ting, 13 min.), a violinist must fix a mistake on her Harvard application. In DALY CITY (pictured, dir. Nick Hartanto, 17 min.), a boy and his mother attend a potluck and lie about their dish. After the death of his wife, a father and his son begin seeing a shadow, in MY SON WENT QUIET (dir.Ian Bawa, 14 min.). In THE TRUCK (dir. Elizabeth Rao, 13 min.), two teenagers try to buy the morning- after pill in post-Roe America. In BITA JOON (dir. Sara Boutorabi, 14 min.), a woman with cancer comes to grips with family as life slips away. In JIN (dir. Charlotte Huang, 20 min.), a first-generation Chinese immigrant gets a visitor from his past. In the animated THE QUEEN’S FLOWERS (dir. Ciara Leina’ala Lacy, 12 min.), a Hawaiian girl makes a gift for Queen Liliʻuokalani; and in KUMAR KUMAR (dir. Kiran Koshy, 8 min.), a computer changes the day. Dialogue: Select filmmakers in attendance."
CLOSING NIGHT: THE WEDDING BANQUET,2025,Andrew Ahn,102,Asian American Showcase,Director In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//wedding-banquet,CLOSING NIGHT: THE WEDDING BANQUET,"With his visa about to expire, but desperate to stay in the United States with his boyfriend Chris (Bowen Yang), Min (Han Gi-Chan) makes a proposal: he’ll pay for their friend Angela and her partner Lee’s (Lily Gladstone) expensive IVF treatment, if Angela will agree to marry him. Lee and Angela will get the baby they desperately want but can’t afford, and Min will get a green card. Plans change when Min’s grandmother (Youn Yuh-jung, MINARI) arrives to throw them a traditional Korean wedding banquet. A joyful comedy of errors about a chosen family navigating cultural identity, queerness, and family expectations–and a modern reimagining of Ang Lee’s 1993 classic, THE WEDDING BANQUET, is a poignant and heartfelt reminder that being part of a family means learning to both accept and forgive. Dialogue: Director Andrew Ahn in attendance."
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,94,New Releases & Restorations,Opens 5/23,France,In English and French with English subtitles,https://www.siskelfilmcenter.org//jane-austen,JANE AUSTEN WRECKED MY LIFE,"Aspiring novelist Agathe works in a bookstore, and hasn’t had a date in two years; her only relationship is with Felix, her charming colleague and best friend. When Felix secretly submits Agathe’s work to the Jane Austen Society, she is accepted to their residency and, with a bit of prodding, agrees to go. As she leaves, Agathe and Felix share a kiss, so at the residency, when she finds herself drawn to Oliver, the great, great, great (great) nephew of Austen, Agathe is caught up in a romantic dilemma straight out of an Austen novel. Laura Piani’s debut is a delightfully witty tale of contemporary love, perfect for hopeless romantics and literature lovers alike."
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,180,National Theatre Live,,UK,In English | Format: Digital,https://www.siskelfilmcenter.org//importance-being-earnest,National Theatre Live: THE IMPORTANCE OF BEING EARNEST,"While assuming the role of a dutiful guardian in the country, Jack lets loose in town under a false identity. Meanwhile, his friend Algy adopts a similar facade. Hoping to impress two eligible ladies, the gentlemen find themselves caught in a web of lies they must carefully navigate. Max Webster directs this joyful reimagining of Oscar Wilde’s most celebrated comedy of identity, impersonation, and romance, filmed live from the National Theatre in London. (NTL)"
WRITTEN ON THE WIND,1956,Douglas Sirk,99,Summer Camp,,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//written-wind,WRITTEN ON THE WIND,"Douglas Sirk’s WRITTEN ON THE WIND, his most melodramatic domestic tragedy, was a box office smash, and is still considered a Technicolor masterpiece, as well as a camp classic. Lauren Bacall stars alongside Rock Hudson, Robert Stack, and Dorothy Malone (in a deliciously vicious, Academy Award–winning performance) in this saga of a rich Texas oil family caught in a spiral of sex, jealousy, and lots of booze. Opulently designed (The Village Voice’s J.Hoberman said the film has a “lurid classical grandeur that suggests Norman Rockwell redecorating Versailles”), WRITTEN ON THE WIND is serious, perverse, and seriously perverse."
WHAT EVER HAPPENED TO BABY JANE?,1962,Robert Aldrich,134,Summer Camp,35mm,USA,In English | Format: 35mm,https://www.siskelfilmcenter.org//baby-jane,WHAT EVER HAPPENED TO BABY JANE?,"In the chilling BABY JANE, two aging actresses, “Baby” Jane Hudson (Bette Davis, in an Oscar-nominated performance) and her wheelchair-bound sister Blanche (Joan Crawford) live in obscurity in a Hollywood mansion, where Baby spends her days terrorizing Blanche. Much ink was spilled about on-set drama, with gossip rags declaring that Davis and Crawford despised each other—is BABY JANE camp because of the alleged feud? If it was real, and these women were out for blood, then what a campy show indeed, but if you ignore the lore, Davis and Crawford’s performances, while not subtle, are sensational."
"BLACK HARVEST PRESENTS: MAHOGANY AT 50 — ON STYLE, MEMORY, AND MEANING",2025,Various directors,100,,Post-Screening Dialogue,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//mahogany,"BLACK HARVEST PRESENTS: MAHOGANY AT 50 — ON STYLE, MEMORY, AND MEANING","Presented as part of the city-wide, 50th anniversary of the film MAHOGANY, this short film program explores Black aesthetics, culture, and legacy through experimental and poetic storytelling, the selections reflecting on Black iconography, fashion, interiority, and diasporic creativity. Each film offers a unique lens on how we hold memory, mark identity, and move through the world in ways that are rooted, vibrant, and visionary. With directors from Chicago and beyond, the program honors a lineage of cultural production that is both timeless and of-the-moment. Together, these films trace a tapestry of beauty, ritual, style, and presence. Programmed by Black Harvest Film Festival Curator jada-amina, and presented in collaboration with the Mahogany at 50 Committee’s Black Fashion Film Series. Learn more mahoganyat50.com."
M*A*S*H,1970,Robert Altman,116,Robert Altman Centennial,35mm,USA,"In English and Japanese, Korean, and Latin with English subtitles | Format: 35mm",https://www.siskelfilmcenter.org//mash,M*A*S*H,"Altman’s irreverent comedy about a Mobile Army Surgical Hospital marked a major breakthrough for his career. Released during the Vietnam War but set during the Korean War (20th Century Fox insisted Korea be referenced in the opening sequence for fear the film would reinforce anti-Vietnam War sentiment) M*A*S*H’s medics, led by surgeons ""Hawkeye"" (Donald Sutherland) and ""Duke"" (Tom Skerritt), mere miles from the front lines, use bawdy pranks to cope with the horrors of combat. A sharp commentary on the absurdity of war wrapped in a blue comedy, M*A*S*H suggests that instead of crying, you might as well laugh. M*A*S*H was in production simultaneously with Fox’s PATTON and TORA! TORA! TORA! “Those were big-budget pictures, and we were cheap,” Altman said. “I knew that if I stayed under budget and didn't cause too much trouble, we could sneak it through."" M*A*S*H won the Palme d’Or at Cannes, garnered five Academy Award nominations, including Altman’s first for Best Director, and became the third highest-grossing film of 1970."
GREY GARDENS,1975,"David Maysles, Albert Maysles, Ellen Hovde, Muffie Meyer",95,Summer Camp,,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//grey-gardens,GREY GARDENS,"In Slate, J. Bryan Lowder wrote what makes the documentary GREY GARDENS in part a camp classic, and “one of the most prominent and oft-cited entries in the canon of gay culture,” is that Big Edie and Little Edie Beale, the reclusive cousins of Jackie Onassis, are intimately captured, in their deteriorating house in East Hampton, without an ounce of judgement. “The filmmakers simply allow them to be,” Lowder writes. That uninhibited freedom is, as Sontag writes, a hallmark of camp: “a proper mixture of the exaggerated, the fantastic, the passionate and the naive.”"
FEMALE TROUBLE,1974,John Waters,89,Summer Camp,35mm,USA,In English | Format: 35mm,https://www.siskelfilmcenter.org//female-trouble,FEMALE TROUBLE,"This series would be incomplete without a film from John Waters, the “King of Camp,” who lives and breathes artifice and lives exaggeration. In FEMALE TROUBLE, Divine stars as Dawn Davenport, a runaway who goes on a nightmarish journey defined by abuse, petty crime, cosmetology, and fame. Waters, aka the “Pope of Trash,” finds extravagance in the filth, which he embraces with all the seriousness camp requires. As Sontag writes, “Camp taste is a kind of love for human nature. It relishes, rather than judges.”"
SHOWGIRLS,1995,Paul Verhoeven,128,Summer Camp,4K Digital Restoration,USA/France,In English | Format: 4K Digital Restoration,https://www.siskelfilmcenter.org//showgirls,SHOWGIRLS,"At first, this NC-17 tale about stripper Nomi Malone (Elizabeth Berkley), who dreams of becoming a top showgirl, was roundly rejected, with USA Today calling the film “as hoary as it is whore-y.” But, as Sontag notes, “What was banal can, with the passage of time, become fantastic,” and SHOWGIRLS has now been embraced for being “perfectly bad,” and entirely camp. The film’s solemnity set against gaudy Las Vegas, Berkley’s extreme performance, the backstage melodrama of the Stardust Resort and Casino has enshrined SHOWGIRLS as camp canon. Content consideration: contains a scene of sexual assault."
MOMMIE DEAREST,1981,Frank Perry,129,Summer Camp,,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//mommie-dearest,MOMMIE DEAREST,"In this balls-to-the-wall biopic of Hollywood legend Joan Crawford, Faye Dunaway stars as the formidable actress, who adopts two children and proves to be a nightmarishly abusive parent. Released as a drama, when audiences responded to the film with laughter, Paramount resold MOMMIE DEAREST as a comedy (new posters read “Meet the biggest mother of them all!”). The film and Dunaway’s explosive performance was lambasted—Variety mocked, “Dunaway does not chew scenery, she swallows it whole, costars and all."" Dunaway’s theatricality has been exhaustively parodied, tributed, and embraced—44 years later we’re still shrieking, “No wire hangers!”"
BREWSTER MCCLOUD,1970,Robert Altman,105,Robert Altman Centennial,35mm,USA,In English | Format: 35mm,https://www.siskelfilmcenter.org//brewster-mccloud,BREWSTER MCCLOUD,"Fresh off the success of M*A*S*H, Altman founded his own production company, Lion’s Gate Films, to give himself creative freedom, delivering a quirky story about Brewster (Bud Cort), an owlish teenager who lives in the basement of the Houston Astrodome, working daily on a pair of wings that he hopes will allow him to fly. After a series of villainous Houstonians are strangled—and continuously shat on by birds—and Brewster is pegged as the suspect, alongside Astrodome tour guide Suzanne (Shelley Duvall, in her debut performance), taking to the sky may be Brewster’s only chance of escape. “I wouldn't say it's my best film,” Altman admitted. “It's flawed, not nearly as finished as some work I've done since, but it's my favorite, because I took more chances then. It was my boldest work, by far my most ambitious. I went way out on a limb to reach for it.”"
