Title,Year,Director,Runtime,Series,Tags,Country,Meta,Link,Show,Description
DOC10: MISTRESS DISPELLER,2024,Elizabeth Lo,94,Doc10,Post-Screening Discussion,China/USA,In Mandarin with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc10-mistress-dispeller,DOC10: MISTRESS DISPELLER,"One of the most acclaimed documentaries of the year and winner of nearly a dozen festival awards, this deeply fascinating family portrait follows the emotional journey of Mrs. Li, an upper-middle-class Chinese woman who learns her husband is having an affair. Desperate to save her marriage, Mrs. Li hires a “mistress dispeller” —a crafty young female professional named Wang Zhenxi—to repair her love life. Unfolding in almost real time, MISTRESS DISPELLER follows “Teacher” Wang as she clandestinely befriends both the cheating husband and the mistress, all part of her intricate master plan to restore the family’s equilibrium. “A spellbindingly intimate tale” (POV Magazine), this exquisitely photographed docu-drama is “a profound and searching panorama of loneliness and partnership,” (IndieWire) and a “highly effective [and] delicately realized examination of marriage in modern China (Screen Daily)."
FORGETTING VIETNAM,2016,Trinh T. Minh-ha,90,Shadows of War Lecture Series,,USA/South Korea/Germany,In Vietnamese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//forgetting-vietnam,FORGETTING VIETNAM,"Highly influential as a feminist and postcolonial theorist, Trinh T. Minh-ha’s experimental films challenge narrative and cinematic conventions while raising critical social issues. FORGETTING VIETNAM combines footage from 1995 and 2012, and is a mediation on the legacy of Vietnam in contemporary society framed by two ancient myths: that Vietnam was formed when two fighting dragons fell into the South China Sea; and that the origin of Viet people traces back to the union between a fairy and a dragon."
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,92,,,USA,In English,https://www.siskelfilmcenter.org//FVNMAS25,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL","Featuring the work of 54 School of the Art Institute of Chicago graduate and undergraduate students from the class of 2025, this festival includes unique works of animation, documentary, sound, narrative, as well as feature-length projects by the next generation of moving image and sound artists. The 2025 festival is produced by the Department of Exhibitions in collaboration with the Department of Film, Video, New Media, and Animation, coordinated by Emily Eddy, curated by Amy Beste, with support from graduate assistants Lucas Gomez-Doyle and Hailey Tomanicek. Learn more and view full program details here."
LILLY,2024,Rachel Feldman,93,New Releases & Restorations,"Opens 5/9, Exclusive",USA,In English | Format: Digital,https://www.siskelfilmcenter.org//lilly,LILLY,"Based on the true story of Lilly Ledbetter, LILLY stars Academy Award nominee Patricia Clarkson as the Alabama tire factory supervisor who, after working 20 years in an environment plagued by harassment for the sake of the best paycheck in the county, discovers she’s been paid half of what the men with the same job have been earning. Outraged, Lilly takes her fight for equal pay all to the Supreme Court, Congress, and eventually The White House. A testament to resilience, with Clarkson’s powerful performance at its core, LILLY illuminates the impact a single person can have on a nation. Siskel Film Center exclusive."
APRIL,2025,Dea Kulumbegashvili,134,New Releases & Restorations,"Opens 5/9, Exclusive",Georgia/Italy/France,In Georgian with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//april,APRIL,"Nina is a stoic OBGYN, whose patients are often desperate for her arrival: expectant mothers experiencing labor emergencies in the hospital where she works, and women—sometimes young girls—who call her for clandestine abortions in their homes. When a baby dies under her care after a difficult delivery, the rumors of Nina’s illegal services threaten the hospital, and Nina’s mission to give women agency. The first 10 minutes of Dea Kulumbegashvili’s (BEGINNING) second feature are a shock to the system, setting in motion an all-consuming cinematic experience. Overwhelming and extraordinary, APRIL is a singular and haunting vision. Siskel Film Center exclusive."
PICNIC AT HANGING ROCK,1975,Peter Weir,115,New Releases & Restorations,"Opens 5/16, 4K Digital Restoration",Australia,In English and French with English subtitles | Format: 4K Digital Restoraiton,https://www.siskelfilmcenter.org//picnic-hanging-rock,PICNIC AT HANGING ROCK,"On Valentine's Day, 1900, a group of schoolgirls are treated to a field trip in the Australian countryside, during which three girls and their teacher vanish without a trace. PICNIC AT HANGING ROCK is an unsettling watch, equal parts sensual and threatening, filled with secrets director Peter Weir refuses to answer. Of the film, The New York Times critic Vincent Canby wrote, “Horror need not always be a dismembered corpse...it may be a warm sunny day.” As mystifying as it was upon its release 50 years ago, this genre-defying Australian New Wave classic is all the more hypnotic with this stunning 4K restoration. Siskel Film Center exclusive."
A MAN AND A WOMAN,1966,Claude Lelouch,102,New Releases & Restorations,"Opens 5/16, 4K Digital Restoration",France,In English and French and Spanish with English subtitles | Format: 4K Digital Restoration,https://www.siskelfilmcenter.org//man-and-woman,A MAN AND A WOMAN,"In Claude Lelouch’s swooning romance (The New Yorker’s Pauline Kael declared it “the most efficacious make-out movie”), widower Jean-Louis and widow Anne meet at their children’s school, and a complicated love affair begins. Shot in black and white and color, and featuring music by Francis Lai (you’ll recognize it instantly), A MAN AND A WOMAN won the Palme d’Or at Cannes, the Academy Award for Best International Film, and was a global hit, playing in cinemas in New York for a record-setting 65 weeks. Nearly six decades later, we’re swooning anew with this 4K restoration supervised by the director. Siskel Film Center exclusive."
OPENING NIGHT: SLANTED,2025,Amy Wang,102,Asian American Showcase,Director In Attendance,USA,In English and Mandarin with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//slanted,OPENING NIGHT: SLANTED,"As a high school senior, Joan Huang is determined to achieve what she believes is the pinnacle of acceptance: being crowned Prom Queen. But as she chases this ideal, Joan makes a drastic choice that sets her on a collision course with identity, belonging, and self-worth. SLANTED is a bold exploration of race, assimilation, and the complex path toward embracing who you truly are. Dialogue: Director Amy Wang in attendance."
THIRD ACT,2025,Tadashi Nakamura,91,Asian American Showcase,Director In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//third-act,THIRD ACT,"Generations of artists call Robert A. Nakamura “the godfather of Asian American media.” Tadashi Nakamura calls him dad. What begins as a film about his father’s career takes a turn with a Parkinson’s Disease diagnosis, evolving into an exploration on activism, grief, and fatherhood. Dialogue: Director Tadashi Nakamura in attendance."
"ONE CITY, MANY PERSPECTIVES: AAPI CHICAGO SHORTS",2025,Various directors,100,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//one-city,"ONE CITY, MANY PERSPECTIVES: AAPI CHICAGO SHORTS","Whether from Chicago or about Chicago, these shorts by AAPI filmmakers with a local connection display the range and quality the Windy City is known for. WHAT I AM TODAY: MAA MAA DEI (pictured, dir. Ian Szetho, 19 min.) documents Jessica “Jaye” Fong’s rise to award-winning restaurateur. In HE (dir. Yihui Hu, 24 min.), Jing He’s life changes when she learns her father has another son. In APART (dir. Sukwon Jeong, 19 min.), Sukjin travels around the world to close an emotional distance. Margot discovers something unexpected when she finds a video her mother left behind in HEY KIDDO (dir. Melissa Kong, 8 min.). THRUST, EPISODE 1 (dir. Noah Causey, 11 min.) gives a behind-the-scenes look into zany and absurd BFA programs. In A SIMPLE ASK (dir. Nadya Naumaan, 9 min.), Nida inadvertently summons an ancestor when they ask Allah for assistance. And in CHECK PLEASE (dir. Shane Chung, 10 min.), a fight over who gets to pay the bill turns deadly. Dialogue: Select filmmakers in attendance."
CAN I GET A WITNESS,2024,Ann Marie Fleming,110,Asian American Showcase,,Canada,In English | Format: Digital,https://www.siskelfilmcenter.org//witness,CAN I GET A WITNESS,"In the not-too-distant future, we’ve solved all the world’s problems: mitigated climate change, eradicated poverty, achieved true trans-species equality. There’s just one catch: humans have to end life at 50, and teenage artists have to document it. CAN I GET A WITNESS?, starring Sandra Oh, Keira Jang, and Joel Oulette, tells the story of a world where huge sacrifices are made to maintain life on Earth."
YEAR OF THE CAT,2025,Tony Nguyen,98,Asian American Showcase,Director In Attendance,USA/Vietnam,In English and Vietnamese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//year-cat,YEAR OF THE CAT,"Crafted as an investigative home movie, YEAR OF THE CAT documents an extraordinary quest to solve the mystery of Tony Nguyen’s father, who was lost in the Fall of Saigon 50 years ago. Weaving together humor and heartache, Nguyen delves into his family’s history, exploring the emotional lengths we go to in confronting the past—and the possibility of healing as we reclaim and transform our futures. Dialogue: Director Tony Nguyen in attendance."
MARINIG AT MAKITA AKO [HEAR & SEE ME]: FILIPINO AMERICAN SHORTS,2025,Various directors,117,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//filipino-american-shorts,MARINIG AT MAKITA AKO [HEAR & SEE ME]: FILIPINO AMERICAN SHORTS,"Witness these distinctive expressions of the Filipino-American experience, and enjoy one of the great pleasures of cinema: recognizing oneself in others. In LOLA (pictured, dir. Grace Hanna, 11 min.) a science prodigy tries to save a memory. In THE GROCERY LIST SHOW: SEAFOOD CITY (dir. Emily Strong, 13 min.), host Chrissy Camba showcases Chicago’s Filipino-American culinary scene. Comedian Alia Rasul reconnects with her dad in 15 WAYS MY DAD ALMOST DIED (dir. Sura Mallouh, 19 min.). A mother and daughter struggle to find belonging in MYSELF WHEN I AM REAL (dir. Angeline Gragasin, 18 min.). BALIK/BAYAN (dir. Paula Kiley, 8 min.) chronicles the life of balikbayan box company founder Manny Paez. In GET YOUR STORY STRAIGHT (dir. Myra Aquino, 16 min.), a murder charge reunites four siblings. Estrella Ravelo Alamar, co-founder of the Filipino American Historical Society of Chicago, is remembered in HER WISH (dirs. Royce Pateras, Marvin Payton Jr., 15 min.). In PAINTED ONES (dir. Julia Nacario, 5 min.), tattoo artist La’on Canabe unlocks Filipino histories through ink. And in DESYNC (dir. Minerva Marie Navasca, 12 min.), a young Filipina filmmaker reenacts a painful memory. Dialogue: Select filmmakers in attendance."
"BEN AND SUZANNE, A REUNION IN 4 PARTS",2024,Shaun Seneviratne,109,Asian American Showcase,,USA/Sri Lanka,In English and Tamil and Sinhala with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//ben-suzanne,"BEN AND SUZANNE, A REUNION IN 4 PARTS","In BEN AND SUZANNE, A REUNION IN 4 PARTS, after a long separation, Ben Santhanaraj (Sathya Sridharan) journeys to Sri Lanka to rekindle his relationship with an NGO worker, Suzanne Hopper (Anastasia Olowin). But when Suzanne’s boss demands she work during their vacation, their love is tested by desire versus duty. Ben tries everything to revive their intimacy, leading to candid conversations and chaotic twists as New Year’s Eve—and Ben’s departure—looms ahead."
FINDING HOME: AAPI SHORTS,2025,Various directors,79,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//finding-home,FINDING HOME: AAPI SHORTS,"Asian immigrants searching for their place in America, the opportunities found, and the challenges faced along the way are explored in this selection of short films. In SARAṆAM GACCHÂMI (I TAKE REFUGE) (dir. Priyanka Suryaneni, 19 min.), a visionary Buddhist monk who leads one of the Bay Area’s largest Tibetan monasteries, nears retirement. The fictional retelling of the 1885 Chinese Massacre in Rock Springs, Wyoming, is told through the eyes of two Chinese miners in ROCK SPRINGS (dir. David Huang, 15 min.). And 150 years of Chinese immigrant history in Memphis, Tennessee, is explored in BLUFF CITY CHINESE (pictured, dir. Thandi Cai, 45 min.). Dialogue: Select filmmakers in attendance."
FAR AND AWAY: AAPI DOCUMENTARY SHORTS,2025,Various directors,109,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//far-away,FAR AND AWAY: AAPI DOCUMENTARY SHORTS,"The immigrant experience is a journey of distance and time. These shorts ask: what can you take with you, and what must be left behind? In THE VOICE OF BAMBOO (pictured, dir. David Zheng, 15 min.), a Japanese elder shares his journey from a life of crime, to finding peace as a bamboo farmer. TASTING HERITAGE (dir. Emily Strong, 20 min.) is a coming-of-culture story of reclaiming heritage through food. In SWIMMING LESSONS (dir. Meloddy Gao, 22 min.), a daughter of immigrants learns what her parents never taught her. In YOU’RE TOO SENSITIVE (dir. Dan Chen, 11 min.), the director documents a family reunion. DEAR ALOHA (Cris Romento, 15 min.) asks how Native Hawaiians keep the feeling of Aloha in their hearts. In SOME KIND OF JAPANESE (dir. Robyn Tomiko, 18 min.), immigrant identity is explored through the Japanese-American experience. And BALIK/BAYAN (dir. Paula Kiley, 8 min.) chronicles the life of balikbayan box company founder Manny Paez. Dialogue: Select filmmakers in attendance."
BITTERROOT,2024,Vera Brunner-Sung,85,Asian American Showcase,Director In Attendance,USA,In English and Hmong with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//bitterroot,BITTERROOT,"Recently divorced Lue (Wa Yang) lives with his refugee aging mother and keeps to a quiet, steady routine: his maintenance job, working his family mushroom stand at the farmers market, fly fishing on the river, and singing karaoke at the local bar—until things begin to crumble. With a predominantly Hmong cast and crew, BITTERROOT offers a rare glimpse into rural Montana’s Hmong community, set amongst stunning landscapes scorched by last year’s wildfires. Dialogue: Director Vera Brunner-Sung in attendance."
CHOOSING OURSELVES: AAPI QUEER SHORTS,2025,Various directors,105,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//choosing-ourselves,CHOOSING OURSELVES: AAPI QUEER SHORTS,"CHOOSING OURSELVES celebrates the resiliency of the Asian American and Pacific Islander LGBTQ+ community, spanning across generations and borders to bring you stories of love, loss, courage, and realness. In RAT!, after a music journalist accuses a pop star of queerbaiting, their fans seek retribution (dir. Neal Mulani, 17 min.). In REALLY GOOD DRIVER (dir. Alex Song-Xia, 8 min.), a mom teaches her grown child how to drive. A first-generation Afghan-Canadian man takes steps toward his identity in ONE DAY THIS KID (pictured, dir. Alexander Farah, 18 min.). In ICE CREAM, ICE QUEEN (dir. Jeremy Tianyu Chi, 17 min.), two women search for connection. A trans woman navigates a life-altering dilemma in CLEMENTINE (dir. Sally Tran, 15 min.). In THREE (dir. Amie Song, 15 min.), a woman tries to keep her daughter’s secrets from her church friends. And in LOVIN’ HER (dir. day, 15 min.), a trans woman faces the complexities of her fading memory. Dialogue: Select filmmakers in attendance."
NEW WAVE,2025,Elizabeth Ai,88,Asian American Showcase,Director In Attendance,USA,In English and Vietnamese with English and Vietnamese subtitles | Format: Digital,https://www.siskelfilmcenter.org//new-wave,NEW WAVE,"Mile-high hair, synthesized sounds, teenage rebellion. Filmmaker Elizabeth Ai set out to document the rebellious punks of the 1980s Vietnamese New Wave, until she uncovered another story. Behind the musical phenomenon, the Euro-synth dance beats, and punk aesthetics were the broken dreams and unfulfilled expectations that have shaped her community. As Ai digs deeper, her excavation becomes an emotional journey of cultural identity, generational trauma, and the Vietnam War’s lasting impact on generations. Dialogue: Director Elizabeth Ai in attendance."
ROADBLOCKS: AAPI SHORTS,2025,Various directors,111,Asian American Showcase,Filmmakers In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//roadblocks,ROADBLOCKS: AAPI SHORTS,"Personal and political roadblocks are navigated in these stories of Asian Americans and Native Hawaiians in different stages of life. In the dark comedy ONE NOTE (dir. Jamie Ting, 13 min.), a violinist must fix a mistake on her Harvard application. In DALY CITY (pictured, dir. Nick Hartanto, 17 min.), a boy and his mother attend a potluck and lie about their dish. After the death of his wife, a father and his son begin seeing a shadow, in MY SON WENT QUIET (dir.Ian Bawa, 14 min.). In THE TRUCK (dir. Elizabeth Rao, 13 min.), two teenagers try to buy the morning- after pill in post-Roe America. In BITA JOON (dir. Sara Boutorabi, 14 min.), a woman with cancer comes to grips with family as life slips away. In JIN (dir. Charlotte Huang, 20 min.), a first-generation Chinese immigrant gets a visitor from his past. In the animated THE QUEEN’S FLOWERS (dir. Ciara Leina’ala Lacy, 12 min.), a Hawaiian girl makes a gift for Queen Liliʻuokalani; and in KUMAR KUMAR (dir. Kiran Koshy, 8 min.), a computer changes the day. Dialogue: Select filmmakers in attendance."
CLOSING NIGHT: THE WEDDING BANQUET,2025,Andrew Ahn,102,Asian American Showcase,Director In Attendance,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//wedding-banquet,CLOSING NIGHT: THE WEDDING BANQUET,"With his visa about to expire, but desperate to stay in the United States with his boyfriend Chris (Bowen Yang), Min (Han Gi-Chan) makes a proposal: he’ll pay for their friend Angela and her partner Lee’s (Lily Gladstone) expensive IVF treatment, if Angela will agree to marry him. Lee and Angela will get the baby they desperately want but can’t afford, and Min will get a green card. Plans change when Min’s grandmother (Youn Yuh-jung, MINARI) arrives to throw them a traditional Korean wedding banquet. A joyful comedy of errors about a chosen family navigating cultural identity, queerness, and family expectations–and a modern reimagining of Ang Lee’s 1993 classic, THE WEDDING BANQUET, is a poignant and heartfelt reminder that being part of a family means learning to both accept and forgive. Dialogue: Director Andrew Ahn in attendance."
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,94,New Releases & Restorations,Opens 5/23,France,In English and French with English subtitles,https://www.siskelfilmcenter.org//jane-austen,JANE AUSTEN WRECKED MY LIFE,"Aspiring novelist Agathe works in a bookstore, and hasn’t had a date in two years; her only relationship is with Felix, her charming colleague and best friend. When Felix secretly submits Agathe’s work to the Jane Austen Society, she is accepted to their residency and, with a bit of prodding, agrees to go. As she leaves, Agathe and Felix share a kiss, so at the residency, when she finds herself drawn to Oliver, the great, great, great (great) nephew of Austen, Agathe is caught up in a romantic dilemma straight out of an Austen novel. Laura Piani’s debut is a delightfully witty tale of contemporary love, perfect for hopeless romantics and literature lovers alike."
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,180,National Theatre Live,,UK,In English | Format: Digital,https://www.siskelfilmcenter.org//importance-being-earnest,National Theatre Live: THE IMPORTANCE OF BEING EARNEST,"While assuming the role of a dutiful guardian in the country, Jack lets loose in town under a false identity. Meanwhile, his friend Algy adopts a similar facade. Hoping to impress two eligible ladies, the gentlemen find themselves caught in a web of lies they must carefully navigate. Max Webster directs this joyful reimagining of Oscar Wilde’s most celebrated comedy of identity, impersonation, and romance, filmed live from the National Theatre in London. (NTL)"
