Title,Release Year,Director
THE IMPORTANCE OF BEING EARNEST,2025,Max Webster
"LOST BOYS, STOLEN TRUCKS",2017–2024,"Auden Lincoln-Vogel, Philip Rabalais"
20 DAYS IN MARIUPOL,2023,Mstyslav Chernov
OSCAR NOMINATED ANIMATED SHORTS,2025,
TANGERINE,2015,Sean Baker
PATHER PANCHALI,1955,Satyajit Ray
TAKE SHELTER,2011,Jeff Nichols
COLUMBUS,2017,Kogonada
"GOOD BYE, LENIN!",2003,Wolfgang Becker
ON BECOMING A GUINEA FOWL,2024,Rungano Nyoni
A WOMAN IS A WOMAN,1961,Jean-Luc Godard
WHITE COURAGE,2024,Marcin Koszalka
SEVEN VEILS,2025,Atom Egoyan
SHATTERED GAMES,2024,Marek Bukowski
THE LOVE BUZZ,2024,Maciej Migas
SIMONA KOSSAK,2024,Adrian Panek
THE A(A) TEAM,2024,Daniel Jaroszek
UNDER THE VOLCANO,2024,Damian Kocur
EUROPA EUROPA,1990,Agnieszka Holland
THREE COLORS: BLUE,1993,Krzysztof Kieslowski
ASHES AND DIAMONDS,1958,Andrzej Wajda
INCENDIES,2010,Denis Villeneuve
THREE COLORS: WHITE,1994,Krzysztof Kieslowski
WOMAN OF,2024,Michal Englert
THREE COLORS: RED,1994,Krzysztof Kieslowski
IDENTIFICATION MARKS: NONE,1965,Jerzy Skolimowski
EO,2022,Jerzy Skolimowski
IT'S NOT MY FILM,2024,Maria Zbaska
KULEJ. ALL THAT GLITTERS ISN’T GOLD,2024,Xawery Zulawski
UNDER THE GREY SKY,2024,Mara Tamkovich
3000 NIGHTS,2015,Mai Masri
MINGHUN,2024,Jan P. Matuszynski
A REAL PAIN,2024,Jesse Eisenberg
SPARROW,2024,Tomasz Gassowski
THE FOUNTAIN,2006,Darren Aronofsky
INSOMNIA,1997,Erik Skjoldbjærg
HUNGER,2008,Steve McQueen
POLICE STORY,1985,Jackie Chan
DR. STRANGELOVE,2025,Sean Foley
2025 OSCAR NOMINATED ANIMATED SHORTS,2024,
THE MONKEY,2025,Osgood Perkins
2025 OSCAR NOMINATED DOCUMENTARY SHORTS,2024,
2025 OSCAR NOMINATED LIVE ACTION SHORTS,2024,
OPUS,2025,Mark Anthony Green
ONCE UPON A TIME IN THE WEST,1968,Sergio Leone
MICKEY 17,2025,Bong Joon Ho
THE DEAD THING,2025,Elric Kane
BULL DURHAM,1988,Ron Shelton
THE SYMBOL OF THE UNCONQUERED,1920,Oscar Micheaux
STOP MAKING SENSE,1984,Jonathan Demme
A LEAGUE OF THEIR OWN,1992,Penny Marshall
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman
THE FAST AND THE FURIOUS: TOKYO DRIFT,2006,Justin Lin
MONEYBALL,2011,Bennett Miller
SCOTT PILGRIM VS. THE WORLD,2010,Edgar Wright
EEPHUS,2024,Carson Lund
STARSHIP TROOPERS,1997,Paul Verhoeven
AMERICAN DREAMS: LOST AND FOUND,1984,James Benning
EIGHT MEN OUT,1988,John Sayles
RETURN OF THE LIVING DEAD II,1988,Ken Wiederhorn
NOT IF I SEE YOU FIRST,2025,Aaron Wertheimer
THEY CALL HER DEATH,2024,Austin Snell
FEMALE TROUBLE,1974,John Waters
BRIGHT STAR,2007,Jane Campion
THE ROOM,2003,Tommy Wiseau
THE IRON GIANT,1999,Brad Bird
ART SPIEGELMAN: DISASTER IS MY MUSE,2024,"Molly Bernstein, Philip Dolin"
JOINT SECURITY AREA,2000,Park Chan-wook
GREASE,1978,Randal Kleiser
OUT OF SIGHT,1998,Steven Soderbergh
GREASE SING-A-LONG,1978,Randal Kleiser
THE DRAGON PAINTER,1919,William Worthington
HARAKIRI,1962,Masaki Kobayashi
SECRET MALL APARTMENT,2024,Jeremy Workman
NIGHT SCHOOL,2025,
DAISIES,1966,Vera Chytilová
