Show Name,Director,Year,Link,Series,Tags,Runtime,Country,Meta
MISHIMA: A LIFE IN FOUR CHAPTERS,Paul Schrader,1985,https://www.siskelfilmcenter.org/mishima,"Paul Schrader, Directed by Paul Schrader",,120,USA/Japan,In English and Japanese with English subtitles | Format: Digital
LIGHT SLEEPER,Paul Schrader,1992,https://www.siskelfilmcenter.org/light-sleeper,"Paul Schrader, Directed by Paul Schrader",35mm,103,USA,In English | Format: 35mm
GODZILLA MINUS ONE,Takashi Yamazaki,2023,https://www.siskelfilmcenter.org/godzilla-minus-one,Shadows of War Lecture Series,,124,Japan,In Japanese with English subtitles | Format: Digital
FIRST REFORMED,Paul Schrader,2018,https://www.siskelfilmcenter.org/first-reformed,"Paul Schrader, Directed by Paul Schrader",,113,USA/UK/Australia,In English | Format: Digital
LATE SPRING,Yasujirô Ozu,1949,https://www.siskelfilmcenter.org/late-spring,"Paul Schrader, Curated by Paul Schrader",,108,Japan,In Japanese with English subtitles | Format: Digital
VIET AND NAM,Trương Minh Quý,2024,https://www.siskelfilmcenter.org/viet-and-nam,New Releases & Restorations,"Opens 4/4, Exclusive",129,Vietnam/Philippines/Singapore/France/Netherlands/Germany/USA,In Vietnamese with English subtitles | Format: Digital
ERIC LARUE,Michael Shannon,2024,https://www.siskelfilmcenter.org/eric-larue,New Releases & Restorations,"Opens 4/4, Member Advance Screening",119,USA,In English | Format: Digital
OFF CENTER: DRUMMING AND DUBBING WITH ALEE PEOPLES,Alee Peoples,"2008, 2023",https://www.siskelfilmcenter.org/drumming-dubbing,OFF CENTER,"16mm, Artist In Attendance",70,USA,"In English | Format: 16mm, Digital"
"HIROSHIMA, MON AMOUR",Alain Resnais,1959,https://www.siskelfilmcenter.org/hiroshima-mon-amour,Shadows of War Lecture Series,,92,France/Japan,In French and Japanese with English subtitles | Format: Digital
I AM A COMEDIAN,Fumiari Hyūga,2022,https://www.siskelfilmcenter.org/i-am-comedian,,Director In Attendance,108,South Korea/Japan,In English and Japanese with English subtitles | Format: Digital
Aura Satz: PREEMPTIVE LISTENING,Aura Satz,2024,https://www.siskelfilmcenter.org/preemptive-listening,Conversations at the Edge,Artist Dialogue,89,UK/Finland,In English | Format: Digital
GRAND TOUR,Miguel Gomes,2024,https://www.siskelfilmcenter.org/grand-tour,New Releases & Restorations,"Opens 4/11, Exclusive",128,Portugal/Italy/France/Germany/Japan/China,"In English and Portuguese, Burmese, Vietnamese, Mandarin, French, Spanish, and Japanese with English subtitles | Format: Digital"
A STATE OF PASSION,Carol Mansour,2024,https://www.siskelfilmcenter.org/state-passion,Chicago Palestine Film Festival,Filmmaker Q&A,93,Palestine/Lebanon,In English and Arabic with English subtitles | Format: Digital
CPFF SHORT FILMS: SOLIDARITY & PROMISE,Various directors,"2023, 2024",https://www.siskelfilmcenter.org/shorts-solidarity,Chicago Palestine Film Festival,,127,,In English | Format: Digital
THE PROMISE,Leonardo Antonio Avezzano,2022,https://www.siskelfilmcenter.org/promise,Chicago Palestine Film Festival,Filmmaker Q&A,84,Jordan,In English and Arabic with English subtitles | Format: Digital
April Mystery Movie Monday,,,https://www.siskelfilmcenter.org/mystery-april,,,,,
THE MISSING PICTURE,Rithy Panh,2013,https://www.siskelfilmcenter.org/missing-picture,Shadows of War Lecture Series,,92,Cambodia/France,In French with English subtitles | Format: Digital
THE RADICAL ART OF THE SANDIN IMAGE PROCESSOR,Various directors,"1973, 2025",https://www.siskelfilmcenter.org/radical-art,Conversations at the Edge,Artist Dialogue,80,USA,In English | Format: Live analog video to digital; digital
CPFF SHORT FILMS: CHICAGO TO PALESTINE,Various directors,"2021, 2024",https://www.siskelfilmcenter.org/shorts-chicago,Chicago Palestine Film Festival,Filmmaker Q&A,83,USA,In English | Format: Digital
REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,Various directors,1972,https://www.siskelfilmcenter.org/revolution-until-victory,Chicago Palestine Film Festival,,45,Palestine/USA,In English | Format: Digital
A FIDAI FILM,Kamal Aljafari,2024,https://www.siskelfilmcenter.org/fidai-film,Chicago Palestine Film Festival,,78,Palestine/Germany/Qatar/Brazil/France,In English and Arabic and Hebrew with English subtitles | Format: Digital
KILLER OF SHEEP,Charles Burnett,1978,https://www.siskelfilmcenter.org/killer-sheep,New Releases & Restorations,"Opens 4/18, 4K Digital Restoration",80,USA,In English | Format: 4K Digital Restoration
THE PALESTINE EXCEPTION,"Jan Haaken, Jennifer Ruth",2024,https://www.siskelfilmcenter.org/palestine-exception,Chicago Palestine Film Festival,Filmmaker Q&A,70,USA,In English | Format: Digital
YALLA PARKOUR,Areeb Zuaiter,2025,https://www.siskelfilmcenter.org/yalla-parkour,Chicago Palestine Film Festival,,87,Sweden/Qatar/Saudi Arabia/Palestine,In Arabic and Swedish with English subtitles | Format: Digital
BONA,Lino Brocka,1980,https://www.siskelfilmcenter.org/bona,,4K Digital Restoration,82,Philippines,In Filipino and Tagalog with English subtitles | Format: 4K Digital Restoration
BOWLING FOR COLUMBINE,Michael Moore,2002,https://www.siskelfilmcenter.org/bowling-columbine,Shadows of War Lecture Series,35MM,120,USA/Canada/Germany,In English | Format: 35MM
SPACES OF EXCEPTION,"Matt Peterson, Malek Rasamny",2023,https://www.siskelfilmcenter.org/spaces-exception,Chicago Palestine Film Festival,,85,USA/Palestine,In English and Arabic with English subtitles | Format: Digital
Video Data Bank Presents: ROUNDABOUT,Various directors,2025,https://www.siskelfilmcenter.org/roundabout,,,100,Various,In English | Format: Digital
TO A LAND UNKNOWN,Mahdi Fleifel,2024,https://www.siskelfilmcenter.org/land-unknown,Chicago Palestine Film Festival,Filmmaker Q&A,105,Greece,In English and Arabic and Greek with English subtitles | Format: Digital
LOVE HOTEL,Shinji Somai,1985,https://www.siskelfilmcenter.org/love-hotel,New Releases & Restorations,"Opens 4/25, 4K Digital Restoration",88,Japan,In Japanese with English subtitles | Format: 4K Digital Restoration
National Theatre Live: THE IMPORTANCE OF BEING EARNEST,Max Webster,2024,https://www.siskelfilmcenter.org/importance-being-earnest,National Theatre Live,,180,UK,In English | Format: Digital
"JANIN, JENIN",Mohammad Bakri,2024,https://www.siskelfilmcenter.org/janin-jenin,Chicago Palestine Film Festival,Filmmaker Q&A,60,Palestine,In English and Arabic with English subtitles | Format: Digital
Mary Patten: AT THE RISK OF SEEMING RIDICULOUS,Mary Pattern,"1994, 2025",https://www.siskelfilmcenter.org/mary-patten,Conversations at the Edge,Artist Dialogue,75,USA,In English | Format: Digital
FORGETTING VIETNAM,Trinh T. Minh-ha,2016,https://www.siskelfilmcenter.org/forgetting-vietnam,Shadows of War Lecture Series,,90,USA/South Korea/Germany,In Vietnamese with English subtitles | Format: Digital
