Title,Year,Publication,Score,Critic,Snippet,Date Written
Black Bag,2025,The Daily Beast,90,Nick Schager,"When it comes to sleek, stylish genre movies, Soderbergh remains a maestro at the top of his game.","Mar 6, 2025"
Black Bag,2025,Variety,90,Peter Debruge,Black Bag is a reminder of just how enjoyable Soderbergh can be when he’s riffing on well-worn genre material.,"Mar 6, 2025"
Black Bag,2025,Screen Daily,90,Tim Grierson,"Highly entertaining from start to finish, the film benefits from David Koepp’s inventive screenplay and Soderbergh’s storytelling swagger.","Mar 6, 2025"
Black Bag,2025,Rolling Stone,90,David Fear,"It’s a great espionage thriller, and an even better scenes-from-a-marriage drama. Ian Fleming would love this. So would Ingmar Bergman.","Mar 12, 2025"
Black Bag,2025,The New York Times,90,Manohla Dargis,"By the time Pierce Brosnan shows up, you may find yourself giggling at the whole meta deliciousness of this enterprise. You may also find yourself feverishly hoping that when it comes time to revive the Bond series, someone has the brains to call Koepp and Soderbergh.","Mar 13, 2025"
Black Bag,2025,Arizona Republic,90,Bill Goodykoontz,"Black Bag, Steven Soderbergh’s outstanding new film, is sleek, cool, polished, smart, smooth — if Soderbergh were a thief, he’d leave no fingerprints.","Mar 13, 2025"
Black Bag,2025,Wall Street Journal,90,Kyle Smith,"Messrs. Soderbergh and Koepp have followed one of (Elmore) Leonard’s Laws—“Leave out the parts that people skip”—to construct an electric, fast-paced thriller that amounts to one climactic scene piled atop another.","Mar 14, 2025"
Black Bag,2025,We Got This Covered,90,Charlotte Simmons,"Holding itself to the tip-top standard that the talent involved would imply, 'Black Bag' is intelligent, entertaining, and nearly bulletproof.","Mar 14, 2025"
Black Bag,2025,TheWrap,88,William Bibbiani,"Human weakness is 'Black Bag’s' greatest strength. It’s an insidiously great spy movie, mature and satisfying.","Mar 6, 2025"
Black Bag,2025,Boston Globe,88,Odie Henderson,"Soderbergh stages these games of one-upmanship as tight, dialogue-heavy scenes of discomfort and suspense.","Mar 10, 2025"
Black Bag,2025,The Associated Press,88,Jake Coyle,"Black Bag follows a run of agilely directed thrillers by Soderbergh made with screenwriter David Koepp. They are both at the height of their almost-too-easy powers; the script, especially, is peppered with delectable dialogue.","Mar 12, 2025"
Black Bag,2025,Chicago Sun-Times,88,Richard Roeper,"I’m not going to pretend I always knew exactly what everyone was talking about as we plunged ever deeper into the weeds of double-crossing and triple-crossing among a batch of mostly iniquitous secret agents, but it’s a zippy and darkly funny ride every step of the way. The dialogue jumps off the page, and the performances are universally brilliant.","Mar 13, 2025"
Black Bag,2025,Movie Nation,88,Roger Moore,"Koepp and Soderbergh make this as much about mistrust and fidelity in a marriage as it is about spies-gone-wrong. They keep their film intimate and interrogatory, giving it an old fashioned theatrical feel.","Mar 14, 2025"
Black Bag,2025,Chicago Tribune,88,Michael Phillips,"Black Bag may be modest, and frivolous, but it’s sharp-witted. Every performance feels right.","Mar 14, 2025"
Black Bag,2025,ReelViews,88,James Berardinelli,"Hollywood’s decision to abandon this kind of storytelling is one reason why cinema in the 2020s has fallen into the doldrums and, when something like Black Bag arrives, it’s a bittersweet reminder of the potential of the big screen experience.","Mar 14, 2025"
Black Bag,2025,The Globe and Mail (Toronto),88,Barry Hertz,"Blanchett, as always, is flawless as the seductive and secretive Kathryn, but it’s Fassbender who reveals a different side of himself.","Mar 14, 2025"
Black Bag,2025,LarsenOnFilm,88,Josh Larsen,"Written by David Koepp, who also penned Soderbergh’s Kimi and Presence, Black Bag displays the twists and intrigue you’d expect from a top-rate spy flick, along with some scintillating dialogue. But it’s the movie’s intellectual provocation and formal invention that marks it among Soderbergh’s best work.","Mar 17, 2025"
Black Bag,2025,The Film Verdict,85,Alonso Duralde,"Black Bag is a not-quite-quotidian spy movie. The stakes are the fate of a relationship, not the fate of the world, and all the pieces come together to make human drama even more interesting than potential apocalypse.","Mar 6, 2025"
Black Bag,2025,Looper,85,Dominic Griffin,"It's a sharp, sexy, and intoxicating drama that has more in common with Patrick Marber's play ""Closer"" than with most spook stories.","Mar 12, 2025"
Black Bag,2025,IGN,80,Siddhant Adlakha,"Its story of three couples working at the same British agency turns all the right screws with impeccable timing, forcing its characters to examine the flaws in their relationships as its tale of state secrets gradually unravels.","Mar 6, 2025"
Black Bag,2025,Paste Magazine,80,Jesse Hassenger,"Without slackening its tension, Black Bag sometimes resembles a bitter comedy of manners, which are apparently also kept in the black bag for certain stretches. These are people who like to tell each other what they find irretrievably boring, especially if it’s each other, whether or not they’re even telling the truth about their disdain.","Mar 6, 2025"
Black Bag,2025,Time,80,Stephanie Zacharek,"Black Bag succeeds on its chilly wit, and on the cool, nervy appeal of its two stars. Blanchett strides through the movie with lioness grace; Fassbender makes George’s robotic use of logic seem like an aphrodisiac.","Mar 6, 2025"
Black Bag,2025,Slashfilm,80,Jeremy Mathai,Black Bag is a perfect example of all of Soderbergh's strengths and the heights he's capable of reaching throughout this run-and-gun phase of his post-retirement career.,"Mar 6, 2025"
Black Bag,2025,Empire,80,John Nugent,"Its pleasures lie in the dialogue, the twists, the reveals. It all leads to a delightful Agatha Christie-style drawing room denouement, in which the rat is exposed, their best-laid plans laid to waste. Like the film as a whole, it’s deliciously, lip-smackingly satisfying.","Mar 6, 2025"
Black Bag,2025,Time Out,80,Phil de Semlyen,"With this quick-witted and sexually supercharged espionage caper, Steven Soderbergh and his screenwriter David Koepp (Jurassic Park) have just remade Tinker Tailor Soldier Spy for the Industry generation.","Mar 11, 2025"
Black Bag,2025,Screen Rant,80,Mae Abdulbaki,"Black Bag is engaging and refreshing precisely because it is so personal, raising the stakes to the highest level without having to be extravagant in its set pieces.","Mar 12, 2025"
Black Bag,2025,The Irish Times,80,Donald Clarke,"No doubt the unrelenting archness will annoy many. But, honed to an economic 93 minutes, Black Bag beats all the current worthless streaming thrillers for wit, pace, style and commitment to the bit.","Mar 12, 2025"
Black Bag,2025,Collider,80,Ross Bonaime,"With a delectable cast and Soderbergh and Koepp knowing exactly how to twist this story with each new scene and reveal, Black Bag is yet another example that Soderbergh can basically make any genre his own, and thrive in it.","Mar 12, 2025"
Black Bag,2025,ABC News,80,Peter Travers,"OK, Steven Soderbergh’s sleek, sexy spy thriller is sometimes too cool for school. But oh the twisted, erotic mischief dished out by dynamos Cate Blanchett and Michael Fassbinder as married spies, still hot for each other but wondering if the other is a mole for the wrong side.","Mar 14, 2025"
Black Bag,2025,i,80,Christina Newland,It’s great fun to watch two actors of such calibre play these wicked games of mistrust and deception – it’s even more fun to see Soderbergh handle his story so deftly.,"Mar 14, 2025"
Black Bag,2025,Los Angeles Times,80,Amy Nicholson,"It’s a pleasure to enjoy something that’s both straight-faced and freewheeling, like a jazz pedagogue who also knows how to get a crowd dancing.","Mar 14, 2025"
Black Bag,2025,NME,80,Paul Bradshaw,"It’s a marriage drama, corporate comedy, domestic farce and international surveillance thriller in a tight 90-minute package.","Mar 14, 2025"
Black Bag,2025,The Telegraph,80,Robbie Collin,"It positions spycraft as a hybrid of occult ritual and parlour game – and perhaps also a grand-scale working-through of deep-seated national jitters. Happily, it’s also enormous fun with it, and has your mind whirring to keep up with David Koepp’s devious screenplay, which gives itself a head start and waits until the very end before willingly surrendering the lead.","Mar 14, 2025"
Black Bag,2025,The Times,80,Kevin Maher,Soderbergh knows his spy movies and so is careful to inject the film’s more cerebral proceedings with just the right amount of lore and giddy genre hokum.,"Mar 14, 2025"
Black Bag,2025,The Times,80,Tom Shoan,Fassbender’s crispness is the perfect foil for Blanchett’s immaculately dressed voluptuary: the two entwine in bed like snakes but you never doubt their devotion to one another. Even their treachery feels like a warped kind of love.,"Mar 17, 2025"
Black Bag,2025,Austin Chronicle,78,Kimberley Jones,"At a silkily dispatched hour and a half, Black Bag is perfectly portioned and entertaining as all get-out.","Mar 13, 2025"
Black Bag,2025,The A.V. Club,75,Matt Schimkowitz,"For better or worse, the director tucks Black Bag away so cleanly that it’s easy to forget what a good time it is.","Mar 10, 2025"
Black Bag,2025,Observer,75,Dylan Roth,"Black Bag is light, unpretentious entertainment for grown-ups, a solid 90 minutes of pure, mostly bloodless fun.","Mar 11, 2025"
Black Bag,2025,IndieWire,75,David Ehrlich,"If Black Bag denies us the kind of duplicitous confrontations that other versions of this story might take pains to savor, Soderbergh’s aversion to giving audiences what they want — and the severe angularity that he tends to offer us now instead — is almost as rewarding here as it was utterly indefensible in “Magic Mike’s Last Dance.”","Mar 12, 2025"
Black Bag,2025,San Francisco Chronicle,75,G. Allen Johnson,"The cold, efficient and really British spy thriller stars a marvelous Michael Fassbender (“The Killer”), a sly Cate Blanchett (“Tár”) and an underused but most welcome Pierce Brosnan, who all help overcome a ridiculous premise.","Mar 12, 2025"
Black Bag,2025,Washington Post,75,Ty Burr,"Black Bag is a movie about pros made by a pro, and either you’re up to the challenge or you’re not.","Mar 12, 2025"
Black Bag,2025,The Hollywood Reporter,70,David Rooney,"It’s witty, stylishly crafted and boasts a stellar ensemble, led by especially toothsome work from Cate Blanchett and Michael Fassbender. It keeps you glued, even if the movie ultimately feels evanescent, a slick diversion you forget soon after the end credits have rolled.","Mar 6, 2025"
Control Freak,2025,RogerEbert.com,88,Matt Zoller Seitz,"Control Freak is a film so raw, messy, and sincere that it seems to have been torn from the bodies of the people who made it.","Mar 13, 2025"
Control Freak,2025,Wall Street Journal,60,John Anderson,"The compositions and palette are occasionally stunning (the cinematographer is Scott Siracusano), and while the story lacks a certain momentum, the intention, quite successful, is to keep a viewer curious.","Mar 13, 2025"
Control Freak,2025,Screen Rant,50,Hannah Gearan,"To make it really gel, the film needed to have a stellar performance at its core. For me, Tran fell short.","Mar 14, 2025"
Control Freak,2025,The Playlist,42,Brian Farvour,"Alas, boilerplate could best describe the events of Control Freak, despite the genuine commitment of Tran and Robbins, particularly with both oozing chemistry and dedication to whatever routine setup the movie provides next.","Mar 13, 2025"
On Becoming a Guinea Fowl,2025,RogerEbert.com,100,Monica Castillo,"On Becoming a Guinea Fowl is an uncomfortable but entrancing watch, a tribute to shattering silence around family secrets and bucking tradition for the sake of empathy.","Mar 7, 2025"
On Becoming a Guinea Fowl,2025,The A.V. Club,100,Katie Rife,"Nyoni’s direction is brilliant, contrasting the chaos of Uncle Fred’s multi-day funeral with the stillness and solace Shula finds in her cousins’ company.","Mar 8, 2025"
On Becoming a Guinea Fowl,2025,The New Yorker,100,Justin Chang,"It is taut, absorbing, and, at ninety-nine minutes, ruthlessly concise. But what it bears witness to, over several days and nights of funeral rites, is a staggering endurance test, in which Shula is tasked with honoring the dishonorable.","Mar 10, 2025"
On Becoming a Guinea Fowl,2025,Boston Globe,100,Odie Henderson,"This is one of the year’s best films, a heartbreaking stunner that’s not easily shaken.","Mar 13, 2025"
On Becoming a Guinea Fowl,2025,The Film Stage,91,Michael Frank,"The writer-director never rushes this story, but still wastes no time in the film––each scene contains weight and value. Each moment builds on the memories of Shula and of the women in this family, fractured together, constantly reminded of monstrosities, somehow still taking steps forward.","Oct 23, 2024"
On Becoming a Guinea Fowl,2025,Paste Magazine,91,Andrew Crump,"On Becoming a Guinea Fowl details the ways tradition is exploited and warped, and to whom’s favor, gently at times, and with a steely edge at others.","Mar 18, 2025"
On Becoming a Guinea Fowl,2025,The Hollywood Reporter,90,Lovia Gyarkye,"Perhaps what’s most impressive about On Becoming a Guinea Fowl is Nyoni’s respect for subtext. Her film doesn’t aim to be a guide, a balm or an ode to forgiveness. The director rejects the ease of over-explanation and allure of an exclusively reverential tone. She reaches for honesty, and what she uncovers is at once disquieting and deeply absorbing.","May 18, 2024"
On Becoming a Guinea Fowl,2025,Variety,90,Guy Lodge,"Blending molasses-dark comedy with searing poetic realism to capture contemporary Zambian society at a generational impasse between staunch tradition and social progress, this is palpably new, future-minded filmmaking, at once intrepidly daring and rigorously poised.","May 18, 2024"
On Becoming a Guinea Fowl,2025,New York Magazine (Vulture),90,Bilge Ebiri,"The off-kilter, absurdist vibe of the picture is enchanting, but it’s rooted in deep horror: The whole movie is about the ways that cruelty and injustice become codified. Sometimes, the only way to preserve your sanity is to go a little insane yourself.","Jun 6, 2024"
On Becoming a Guinea Fowl,2025,The New York Times,90,Manohla Dargis,"[Nyoni] says all she needs to with each lapidary image, with every resonant silence and with the undaunted power of Shula’s gaze.","Mar 6, 2025"
On Becoming a Guinea Fowl,2025,Rolling Stone,90,David Fear,"There are surreal and absurdist touches throughout Nyoni’s second feature, and like the Zambian filmmaker’s awe-inspiring debut, I Am Not a Witch (2017), it proves she has a perfect sense of how to blend no-nonsense realism with its more magical counterpart.","Mar 7, 2025"
On Becoming a Guinea Fowl,2025,Los Angeles Times,90,Robert Abele,"In its atmosphere of gnawing discomfort with imposed secrecy about bad men, “On Becoming a Guinea Fowl” is a uniquely dimensional work of character and temporality. Nyoni’s brilliance is in portraying the gap between public and private, past and present, as spaces where submerged feelings awkwardly co-exist, leaving nobody able to feel truly whole.","Mar 9, 2025"
On Becoming a Guinea Fowl,2025,Arizona Republic,90,Bill Goodykoontz,"On Becoming a Guinea Fowl is not the first film about family secrets coming to light through grief, but it may be the most original.","Mar 19, 2025"
On Becoming a Guinea Fowl,2025,The Associated Press,88,Lindsey Bahr,"Nyoni and her cinematographer David Gallego make this a transportive, stylish and unforgettable experience that powerfully transcends the specifics of its setting, while also taking audiences into an culture that’s likely unfamiliar.","Mar 5, 2025"
On Becoming a Guinea Fowl,2025,Chicago Tribune,88,Michael Phillips,"This is a poetic-realist vision with grace notes of wit and surrealism. It is a calm, visually assured statement of shared rage.","Mar 14, 2025"
On Becoming a Guinea Fowl,2025,Washington Post,88,Ty Burr,On Becoming a Guinea Fowl draws a portrait of a culture with one foot in a 21st century of iPhones and laptops and the other in a crushing patriarchal hierarchy that goes back millennia and that proves nearly impossible to upend.,"Mar 14, 2025"
On Becoming a Guinea Fowl,2025,IndieWire,83,David Ehrlich,The scarring power of Nyoni’s film ignites from Shula’s eventual realization that she would rather torch her family to the ground than let them forget what happened.,"May 18, 2024"
On Becoming a Guinea Fowl,2025,TheWrap,81,Steve Pond,"The film can be confusing, but it’s not meant to be pinned down. And despite the occasionally surreal touches, it’s an examination of how the beauty of tradition can also be an opponent to justice and humanity.","May 18, 2024"
On Becoming a Guinea Fowl,2025,Little White Lies,80,Hannah Strong,"Anchored by Susan Chardy’s restrained performance, On Becoming A Guinea Fowl might touch on hot-button themes of sexual violence, misogyny and familial cycles of abuse, but Rungano Nyoni finds her own intriguing language to explore them.","Dec 5, 2024"
On Becoming a Guinea Fowl,2025,The Irish Times,80,Tara Brady,"With the cinematographer David Gallego, the sound designer Olivier Dandré and a superb ensemble cast, Nyoni has crafted indelible tableaux, powered by dark survivors’ humour, blistering originality and retaliatory fury.","Dec 5, 2024"
On Becoming a Guinea Fowl,2025,The Observer (UK),80,Wendy Ide,"Nyoni’s Zambia-set film, using the Bemba language and English, deftly juggles humour with pathos, domestic drama with surreal fantasy flourishes. It’s dizzyingly creative and rather special.","Dec 16, 2024"
On Becoming a Guinea Fowl,2025,Empire,80,Kambole Campbell,"Rungano Nyoni is one of the most exciting voices in cinema today and On Becoming a Guinea Fowl is abject proof: a disquieting, blistering examination of a family where social status trumps blood ties.","Jan 2, 2025"
On Becoming a Guinea Fowl,2025,Collider,80,Jeff Ewing,"It's anchored by a wonderful central performance from Susan Chardy, who finds layers of nuance in Shula as her anger over the situation bubbles to the surface. It's an excellent film, and a strong display of talent across the board.","Mar 12, 2025"
On Becoming a Guinea Fowl,2025,Austin Chronicle,78,Richard Whittaker,"From the moment Shula first appears in On Becoming a Guinea Fowl, director Rungano Nyoni lets the quiet charisma of actress Susan Chardy subtly dominate the screen.","Mar 21, 2025"
On Becoming a Guinea Fowl,2025,Slant Magazine,75,Greg Nussen,Rugano Nyoni’s critique of her native country’s gender-based discrimination is as acerbic as it is unforgiving.,"Oct 7, 2024"
On Becoming a Guinea Fowl,2025,Screen Daily,70,Wendy Ide,"On Becoming A Guinea Fowl is a formally daring picture that blends fantasy, stylised drama and elements of black comedy to explore the societal pressures that rewrite the truth.","May 18, 2024"
On Becoming a Guinea Fowl,2025,Screen Rant,70,Patrice Witherspoon,"It isn’t just stellar filmmaking, it’s necessary viewing for those of us aching to break the cycle of abuse.","Sep 9, 2024"
On Becoming a Guinea Fowl,2025,The Guardian,60,Peter Bradshaw,"While it’s such an intriguing idea, an almost absurdist scrutiny of what avoidance looks like and how families choreograph their collective denial, there is something a little bit contrived in it and, though always engaged, I found myself longing for some outright passion or rage or confrontation.","May 18, 2024"
My Dead Friend Zoe,2025,Film Threat,100,Jason Delgado,"To be able to understand these universal experiences on a deeper level because of this film is a true gift. Even if you don’t have a Zoe, just know that you’re never truly alone.","Feb 26, 2025"
My Dead Friend Zoe,2025,Original-Cin,91,John Kirk,"A semi-autobiographical and powerfully moving story by Kyle Hausmann-Stokes, My Dead Friend Zoe is inaccurately described as a “dark comedy” or as a “buddy film”.","Feb 24, 2025"
My Dead Friend Zoe,2025,Collider,90,Matt Donato,"My Dead Friend Zoe opens wounds and douses them in peroxide — the immediate sensation stings, but eventually cleanses and soothes.","Mar 15, 2024"
My Dead Friend Zoe,2025,Arizona Republic,90,Bill Goodykoontz,"Hausmann-Stokes won’t let the film get sappy; Martin-Green and Harris ensure it. Instead, it’s an unflinching look at a health crisis, a film that arrives at what it’s trying to say through unconventional means, and is all the more effective for it.","Feb 24, 2025"
My Dead Friend Zoe,2025,Chicago Sun-Times,88,Richard Roeper,"Some of the resolutions of this myriad of conflicts and issues are perhaps a bit too tidy, but this is a richly layered and truly moving set piece, with a smart and insightful screenplay and great performances from the ensemble cast.","Feb 26, 2025"
My Dead Friend Zoe,2025,RogerEbert.com,88,Christy Lemire,"This is a persuasive piece of advocacy filmmaking, tucked inside a playful and profane comedy about female friendship. You’ll laugh. You’ll cry.","Feb 28, 2025"
My Dead Friend Zoe,2025,Variety,80,Peter Debruge,"Hausmann-Stokes’ message is simple, and his movie is a perfect place to start: Take an interest in our veterans.","Mar 15, 2024"
My Dead Friend Zoe,2025,Austin Chronicle,78,Kimberley Jones,"Inspired by writer-director Kyle Hausmann-Stokes’ own experiences in the Army, including combat in Iraq, My Dead Friend Zoe tackles PTSD head-on with humor and empathy.","Feb 27, 2025"
My Dead Friend Zoe,2025,IndieWire,75,Proma Khosla,"It’s a visceral look at the veteran experience and the kinds of loss we can’t easily describe or process, and the isolation that comes with that.","Mar 15, 2024"
My Dead Friend Zoe,2025,San Francisco Chronicle,75,Bob Strauss,"Fundamentally, though, “My Dead Friend Zoe” is a tricky story told exceedingly well. It earns our attention — and a few salutes.","Feb 24, 2025"
My Dead Friend Zoe,2025,Movie Nation,75,Roger Moore,Perhaps only an Iraq War combat vet would dare to tackle Post Traumatic Stress Disorder with the sort of sarcasm and gallows humor of My Dead Friend Zoe.,"Feb 26, 2025"
My Dead Friend Zoe,2025,The Associated Press,75,Jake Coyle,"The movie’s earnestness carries it through these less smooth moments. So does the cast. Any opportunity to see Freeman or Harris, still at the top of their games, is a chance to be treasured.","Feb 26, 2025"
My Dead Friend Zoe,2025,Washington Post,75,Ty Burr,"My Dead Friend Zoe is straightforward as filmmaking and it’s fairly obvious as therapy, but it comes from a place of deep respect and deeper love, and everyone here honors that.","Feb 27, 2025"
My Dead Friend Zoe,2025,ABC News,75,Peter Travers,"Forget the silly title. There’s a world of hurt behind the laughs in this emotional powerhouse as therapist Morgan Freemen treats a PTSD soldier (a very fine Sonequa Martin-Green), home from Afghanistan but still talking to the scrappy ghost of her army bestie (Natalie Morales).","Feb 28, 2025"
My Dead Friend Zoe,2025,The New York Times,70,Alissa Wilkinson,"Most of the filmmaking in My Dead Friend Zoe feels workmanlike, proficient and straightforward in its storytelling — a promising feature debut for Hausmann-Stokes. The film’s best feature is its performances from a uniformly excellent cast.","Feb 27, 2025"
My Dead Friend Zoe,2025,TheWrap,69,William Bibbiani,"My Dead Friend Zoe' is a noble film, seemingly honest and open. It’s not a terribly exciting one, and it struggles to justify its modest length, but plot isn’t everything.","Mar 4, 2025"
My Dead Friend Zoe,2025,The Daily Beast,68,Allegra Frank,"It’s a film that could easily veer into manipulative territory in lesser hands, but Hausmann Stokes transforms this personal and devastating story into something deeper, sweeter, and funnier than it may initially seem.","Apr 3, 2024"
My Dead Friend Zoe,2025,Paste Magazine,67,Tara Bennett,"Although Morales is an improv queen, the overriding gravitas of Hausmann-Stokes’ direction makes most of the intended comedy wither and land with a dull thud. However, there are some solid performances from the whole cast, and the opportunity to platform this topic is a plus, and in some cases, likely vital to veterans who will watch it.","Feb 28, 2025"
My Dead Friend Zoe,2025,The Hollywood Reporter,60,Lovia Gyarkye,"The vigilance of the character building doesn’t translate to the narrative. The story at the center of My Dead Friend Zoe — a young woman suffering from PTSD and tasked with caring for her aging grandfather — is oddly unyielding, never relaxing enough to fully engage or move us.","Mar 15, 2024"
My Dead Friend Zoe,2025,Wall Street Journal,30,Kyle Smith,"Mr. Hausmann-Stokes hopes to keep the movie darkly comic until pivoting to a final, emotional payoff, but the mawkish late scenes are even more inept than the supposedly funny ones, as the director stages tearful hugs accompanied by soapy attempts at emotional dialogue.","Feb 28, 2025"
Superboys of Malegaon,2025,RogerEbert.com,88,Matt Zoller Seitz,"Superboys of Malegaon, about film buffs obsessing over films and then making one of their own, is one of the most accessible and entertaining movies about the creative urge that you’ll see.","Feb 28, 2025"
Superboys of Malegaon,2025,The Guardian,80,Peter Bradshaw,"There is terrific fun, charm and storytelling energy in Superboys of Malegaon, and it settles on an interesting theme: very rarely indeed does a new film-maker find success with a completely original work.","Oct 15, 2024"
Superboys of Malegaon,2025,Movie Nation,75,Roger Moore,"A tale that touches and tickles and exposes us to the trials of other lives in a very different part of the world, it’ll make you glad you showed up to read the subtitles.","Mar 4, 2025"
Superboys of Malegaon,2025,IndieWire,75,Proma Khosla,“Superboys” is dedicated to those who devour and admire great movies rather than those who make them — and quickly shows that the line between those two categories can be breached if you’re brave enough.,"Mar 6, 2025"
