Title Searched,Year Searched,Director Searched,Publication,Score,Critic,Snippet,Date Written
KILL THE JOCKEY,2024,Luis Ortega,RogerEbert.com,88,Carlos Aguilar,"If the director’s spell has taken hold as presumably intended, by the time the most outlandish touches appear, one has already surrendered to its visceral, chaotic allure.","Jul 2, 2025"
KILL THE JOCKEY,2024,Luis Ortega,Screen Daily,80,Wendy Ide,"Like its magnetic central character, the entertaining latest from Luis Ortega is fascinating: a playful, shape-shifting, questioning journey that refuses to be neatly pinned down.","Aug 29, 2024"
KILL THE JOCKEY,2024,Luis Ortega,Slant Magazine,75,William Repass,"Kill the Jockey’s originality consists not just in taking the clichéd metaphor of rebirth literally, but in casually ratcheting that literalness to ever more fantastical degrees.","Jun 29, 2025"
KILL THE JOCKEY,2024,Luis Ortega,Variety,70,Guy Lodge,"Awash with kooky gags and bolstered by the strange, soulful presence of leading man Nahuel Pérez Biscayart, it’s fun but flighty, liable to throw some viewers from the saddle.","Aug 29, 2024"
KILL THE JOCKEY,2024,Luis Ortega,Screen Rant,70,Alexander Harrison,"The cast deserves real credit for that, Biscayart especially. His physical expressiveness is truly extraordinary, and without his performance to transition us to the final act, Kill the Jockey doesn't succeed.","Aug 30, 2024"
KILL THE JOCKEY,2024,Luis Ortega,The Film Verdict,70,Stephen Dalton,"This ebullient equestrian comedy thriller is effortlessly enjoyable as camp spectacle, with shades of Almodovar in the mix, even if its twist-heady screwball plot ultimately delivers more style than substance.","Sep 5, 2024"
KILL THE JOCKEY,2024,Luis Ortega,IndieWire,67,Sophie Monks Kaufman,"Kill the Jockey is an elusive and sometimes frustrating watch. It elides interpretation in ways both intentional and undercooked, flirts with a greatness that isn’t fully earned, yet it has some glorious moments and never unseats the viewer.","Aug 29, 2024"
KILL THE JOCKEY,2024,Luis Ortega,The Guardian,60,Xan Brooks,"It’s too skimpy and self-conscious, more a series of gestures than an organic whole. But Ortega frames his action with a delicious high style, interspersing tense standoffs with formal dance sequences. He gives the impression that all his characters are locked in a bizarre hothouse romance, even when they are chasing or attempting to kill one another.","Aug 29, 2024"
KILL THE JOCKEY,2024,Luis Ortega,The Hollywood Reporter,60,Leslie Felperin,"In the end, it all feels a bit like a fashion film or some other branded exercise in style — except that the brand is Ortega’s peculiar and unique vision.","Aug 29, 2024"
KILL THE JOCKEY,2024,Luis Ortega,Collider,60,Elisa Guimarães,"It works for about half an hour, but its excess of panache eventually gets tiring, and the story's seams are just too frail to hold it together. Still, those dance sequences are really something.","Jul 7, 2025"
KILL THE JOCKEY,2024,Luis Ortega,The New York Times,50,Natalia Winkelman,"The director, Luis Ortega, doesn’t give much reason to care about Remo’s conflict — the protagonist’s catatonia inspires the same in the viewer — and instead exhausts his efforts on a mannered blankness of style and mood.","Jul 2, 2025"
KILL THE JOCKEY,2024,Luis Ortega,Austin Chronicle,50,Richard Whittaker,"It’s rare to say about a contemporary film, but maybe it could gain from a little didacticism, a little lecturing, a little clarity to ensure that its muddied purpose becomes clearer. Instead, its idiosyncrasies obscure its insights.","Jul 10, 2025"
ALLIGATOR,1980,Lewis Teague,Entertainment Weekly,91,Chris Nashawaty,"Clever, funny, and wonderfully bloody.",
ALLIGATOR,1980,Lewis Teague,TV Guide Magazine,75,Staff (Not Credited),"All in all, a fine example of what a sense of humor can do with a low budget and an old idea.",
ALLIGATOR,1980,Lewis Teague,The Globe and Mail (Toronto),75,Jay Scott,"It is, to be sure, a Jaws ripoff, but it has enough sidelong wit and head-on scares to guarantee its revival as a classic cult item long after more expensive, ambitious efforts like Altered States have been forgotten. [13 Apr 1981]",
ALLIGATOR,1980,Lewis Teague,The New York Times,70,Vincent Canby,A very funny meditation on the old ''what happens when you flush the goldfish down the john?'' nightmare. It is also a formula film that simultaneously demonstrates the specific requirements of the formula while sending them up with good humor.,
ALLIGATOR,1980,Lewis Teague,Time Out,70,Staff (Not Credited),An effective and unpretentious treat.,
ALLIGATOR,1980,Lewis Teague,Variety,70,Staff (Not Credited),"Alligator is bloody and boisterous, featuring the only man-eating monster in memory named Ramone.",
ALLIGATOR,1980,Lewis Teague,Newsweek,70,Charles Michener,"What really puts Alligator above all the other Jaws""ripoffs is its snappy sense of humor. [20 Apr 1981, p.93]",
ALLIGATOR,1980,Lewis Teague,Washington Post,70,Gary Arnold,"Alligator, the most amusing variation yet on the Jaws formula, finds plenty of room for incidental humor and romantic byplay while sustaining a breezy suspense plot. [20 May 1981, p.B1]",
ALLIGATOR,1980,Lewis Teague,Empire,60,Kim Newman,"Enjoyable, but this croc-fest is no Lake Placid.",
ALLIGATOR,1980,Lewis Teague,Chicago Sun-Times,25,Roger Ebert,I suggest a plan: Why not try flushing this movie down the toilet to see if it also grows into something big and fearsome?,
EEPHUS,2024,Carson Lund,Washington Post,100,Ty Burr,"Eephus belongs with the great baseball movies not because of any major league ambitions but because it understands what the game has meant and still means in small towns, among average people and weekend players.","Mar 13, 2025"
EEPHUS,2024,Carson Lund,IndieWire,91,Christian Zilko,"The film’s only villain is the passage of time, and its protagonists are simply facing the unpleasant realization that their era is ending sooner than their lifespans.","May 21, 2024"
EEPHUS,2024,Carson Lund,Variety,90,Jessica Kiang,"Its pearls of practical wisdom and jewels of melancholic wit make Eephus a gem, which is fitting, for a movie about a game played on a diamond.","May 21, 2024"
EEPHUS,2024,Carson Lund,The Daily Beast,90,Nick Schager,"Modest and moving, it’s a new sports-movie classic, as sneakily effective as the pitch which gives it its title.","Mar 6, 2025"
EEPHUS,2024,Carson Lund,The New York Times,90,Alissa Wilkinson,"It dwells in some languid liminal space between hangout movie and elegy, a tribute to the community institutions that hold us together, that introduce us to one another and that, in an age of optimized life choices and disappearing public spaces, are slowly fading away.","Mar 6, 2025"
EEPHUS,2024,Carson Lund,New York Magazine (Vulture),90,Bilge Ebiri,"Slowly but surely, you settle into its gentle rhythms, and before you know it, it feels like an entire lifetime has passed by.","Mar 9, 2025"
EEPHUS,2024,Carson Lund,The Atlantic,90,David Sims,"Eephus is an elegy, but with just the barest hint of sentimentality—a shrugging send-off that simultaneously cares deeply about America’s pastime.","Mar 14, 2025"
EEPHUS,2024,Carson Lund,Los Angeles Times,90,Robert Abele,Maybe the most rewarding quality Eephus displays as a first-ballot hall of fame sports movie is the dedication of Lund and company to just being what they are: no-nonsense celebrants of something ephemeral yet enduring.,"Mar 14, 2025"
EEPHUS,2024,Carson Lund,Austin Chronicle,89,Kimberley Jones,"Sharing some of the same talent behind last year’s microindie critic’s darling Christmas Eve in Miller’s Point, Eephus is suffused with a sincere love for baseball but not overburdened with holiness about the game.","Mar 20, 2025"
EEPHUS,2024,Carson Lund,The Film Stage,83,Jordan Raup,"With a gentle yet rigorous vision, Eephus coalesces into a reflective study of nostalgia: both for a game that has evolved and for a certain kind of American social life that is dwindling as fast as the sun fades.","May 21, 2024"
EEPHUS,2024,Carson Lund,Screen Daily,80,Tim Grierson,"Baseball is just a game, but Lund recognises why some need it so badly. On the diamond, these ageing men feel young again – if only for a few hours.","May 21, 2024"
EEPHUS,2024,Carson Lund,Collider,80,Caleb Hammond,"Eephus delivers an experience that lingers, successfully capturing a deeper melancholy that can’t be shaken.","Jun 12, 2024"
EEPHUS,2024,Carson Lund,The New Yorker,80,Richard Brody,"In presenting the game, Lund develops a passionately analytical aesthetic of baseball that offers a corrective to the way it’s usually depicted. His documentary-based method, in rejecting the patterned routines of television coverage, intensifies the drama of the sport itself.","Mar 7, 2025"
EEPHUS,2024,Carson Lund,Slate,80,Dan Kois,It’s all so pleasantly familiar I might as well have been hanging out with these guys for years.,"Mar 7, 2025"
EEPHUS,2024,Carson Lund,Paste Magazine,76,Brianna Zigler,"The “Eephus” pitch is an apt characterization for the film that now shares its name, an odd, surprising story about a baseball game with seemingly little to no stakes, that continues on for long after it should’ve already ended.","Oct 2, 2024"
EEPHUS,2024,Carson Lund,Slant Magazine,75,Jake Cole,"Carson Lund treats the power of a shared interest with profound, elegiac empathy.","Jul 2, 2024"
EEPHUS,2024,Carson Lund,The Associated Press,75,Jake Coyle,To call this a field of dreams would be pushing it. But it’s a lovely way to pass some time.,"Mar 6, 2025"
EEPHUS,2024,Carson Lund,Boston Globe,75,Odie Henderson,"Lund has crafted a good-natured hangout movie that tells the story of one final game at Soldiers Field, a New Hampshire-set diamond slated for demolition the following day.","Mar 13, 2025"
EEPHUS,2024,Carson Lund,Chicago Tribune,75,Michael Phillips,"Places come; places go. Every human being deals with loss differently. “Eephus” acknowledges that, but it’s a sweet, sidewinding paradox of a sports movie: sentimental in a quietly unsentimental and offhandedly comic fashion.","Mar 20, 2025"
EEPHUS,2024,Carson Lund,The Hollywood Reporter,70,Jordan Mintzer,"Eephus isn’t exactly a baseball movie — it’s something closer to movie-baseball, where characters endlessly jostle back and forth under no real time constraints, watching the day slowly pass them by, simply out of love for the sport.","May 21, 2024"
EEPHUS,2024,Carson Lund,RogerEbert.com,63,Peyton Robinson,"The pacing works referentially to its namesake and real-time ambition, but the characters aren’t quite interesting or engaging enough to sustain attention for the whole runtime, and the film’s crawl eventually wears on weary knees.","Mar 7, 2025"
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,USA Today,88,Mike Clark,"You still get Tim Curry in drag, young Susan Sarandon in her skimpies and an enthusiastic score. [16 Nov 1990, p.3D]",
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,Entertainment Weekly,83,Ty Burr,"For a movie that's mostly a plotless mix of old sci-fi flicks and Bowie-esque gender-bending, Rocky Horror continues to charm. That's due in part to the honest delight we take in the freedoms this movie so cheerfully flaunts.",
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,Empire,80,Adam Smith,"The powerhouse of the film is Tim Curry's cross-dressing alien, Frank N. Furter, who would never reach these kinds of gloriously demented heights again.",
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,Time Out London,80,Trevor Johnston,"The material inspires affection, given its knowing pastiche of everything from Universal horrors to '50s grade-Z sci-fi, and a shamelessly hedonistic, fiercely independent sensibility that must have seemed a welcome relief from the mainstream bombast of other '70s musicals.",
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,IGN,80,R.L. Schaeffer,"If you've never been to a midnight screening of Rocky Horror, please go. It's a delight. And if you can't make it, this Blu-ray attempts to bring that experience home. Just don't watch the film without, at least, some form of audience participation. It's just not much fun without it.",
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,BBC,80,Staff (Not Credited),The film itself is filled with great tunes and a slightly loopy plot. So it's just like your common-or-garden musical in that way. Where the film really takes off is in its subversion of sexual mores as Brad and Janet break free from their normality.,
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,TV Guide Magazine,75,Staff (Not Credited),The film itself is a lot of fun--but the audience-participation phenomenon has turned it into a one-of-a-kind cinematic experience.,
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,The Globe and Mail (Toronto),75,Jane Schoettle,"Susan Sarandon and Barry Bostwick are perfectly caste as two naive
waifs who stumble upon the castle of Dr. Frank-N-Furter after car trouble
on a rainy night. The supporting cast is appropriately, well, let's say
idiosyncratic, but for my money it's Tim Curry as the mad doctor who
steals the show. Surely he stands as the most charismatic transsexual
Transylvanian ever. [1 Dec 1990]",
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,The A.V. Club,67,Keith Phipps,"The plot is only semi-comprehensible, but the nearly non-stop musical numbers-brilliant conflations of glam-rock and showtunes-and transgressive sexual energy keep things moving.",
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,Chicago Sun-Times,63,Roger Ebert,"Dr. Furter is played by a British actor named Tim Curry, who bears a certain resemblance to Loretta Young in drag. He's the best thing in the movie, maybe because he seems to be having the most fun.",
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,Variety,40, Variety Staff,Most of the jokes that might have seemed jolly fun on stage now appear obvious and even flat. The sparkle's gone.,
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,Chicago Reader,30,Dave Kehr,"The wit is too weak to sustain a film, and the songs all sound the same.",
L FOR LEISURE,2014,"Whitney Horn, Lev Kalman",Village Voice,80,Danny King,"What makes L for Leisure more than just a collection of clever, well-photographed jokes is the utter sincerity embedded within the constant sarcasm.","May 13, 2015"
L FOR LEISURE,2014,"Whitney Horn, Lev Kalman",The A.V. Club,67,A.A. Dowd,"At certain point, whether all of this is purposefully awkward becomes almost irrelevant: The non sequitur vignettes are often hilarious either way, and the film gains an oddly agreeable rhythm.","May 16, 2015"
L FOR LEISURE,2014,"Whitney Horn, Lev Kalman",The New York Times,50,Ben Kenigsberg,It is possible to admire Mr. Kalman and Ms. Horn’s ambition and at the same time have no idea what they were trying to achieve.,"May 14, 2015"
L FOR LEISURE,2014,"Whitney Horn, Lev Kalman",The Dissolve,40,Andrew Lapin,"The majority of the cast are non-actors, and act it, judging by their stilted, wooden performances and robotic attempts at simple human interactions. This seems to be the point, since they’re playing non-characters, but such indifference in a film is only tolerable for so long.","May 13, 2015"
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",ReelViews,88,James Berardinelli,"Represents solid family entertainment, and will find a special place in the hearts of those who adore the ""Godfather"" movies and the TV series ""The Sopranos.""",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Charlotte Observer,88,Lawrence Toppman,"By riffing off two iconic American narratives of the last 35 years, ""The Godfather"" and ""The Sopranos,"" it has changed the template for animation, making a timely film that still deals with timeless children's themes.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Chicago Tribune,75,Michael Wilmington,Boasts a really spectacular cast to voice those reasonably funny jokes.,
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Miami Herald,75,Connie Ogle,"What Shark Tale lacks in originality it makes up for with sassy humor, bright, effective animation and terrific vocal work.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",New York Daily News,75,Jack Mathews,"Not wildly imaginative, and it has a tepid mix of movie references. But the physical environment and characters make it irresistible.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",San Francisco Chronicle,75,Mick LaSalle,"By avoiding the usual animation cliches, by keeping the story moving, the pictures pretty and the characters consistently amusing, director and co- writer Rob Letterman cobbles together an entertaining 90 minutes.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Chicago Reader,70,J.R. Jones,"This dazzling CGI feature by DreamWorks Animation appropriates the vivid undersea psychedelia of ""Finding Nemo,"" though in contrast to that movie, the father-son parable here is just an excuse to burlesque ""The Godfather"" for the 100th time.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",USA Today,63,Claudia Puig,"Story is everything and Shark's is rather thin and soupy, despite the winning improvisational skills of stars Will Smith and Jack Black.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Baltimore Sun,63,Chris Kaltenbach,"Shark Tale is ""Finding Nemo"" with bigger-name stars, far less heart and, the guess here is, about one-third the staying power.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",The Hollywood Reporter,60,Kirk Honeycutt,Comes off as an overly jokey but often quite entertaining spoof that should please families everywhere.,
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Newsweek,60,David Ansen,"Full of invention, but under the colorful icing is a slightly stale cake.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Variety,60,Todd McCarthy,"With the combination of mobster characters and heavily R&B, hip-hop and disco/soul tune orientation of the soundtrack, pic has a more streetwise feel than most animated fare, which is not to say that it has street smarts.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Entertainment Weekly,58,Lisa Schwarzbaum,The noisiest laughs in this watery animated comedy are reserved for those who value self-referential winks above all else.,
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Seattle Post-Intelligencer,58,William Arnold,It's overblown and greedy and feels like more of a merchandizing scheme than a movie.,
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Portland Oregonian,58,Shawn Levy,"Noisy, garish, cluttered, simplistic and often dark in content, it nevertheless sings and preens and jokes and tugs at you with such persistent verve that, exhausted, you give in.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Time,50,Richard Corliss,"The film has a hectic, sitcom air and a full-of-himself hero who is as likely to grate as to ingratiate.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Rolling Stone,50,Peter Travers,"It's stale, like something you wrap in yesterday's newspaper.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Christian Science Monitor,50,David Sterritt,"The screenplay isn't remotely as funny as it tries to be, and the visual style is equally unexciting.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",The New York Times,50,Dana Stevens,"Reasonably good fun, even if, in the end, it's not really very interesting.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Premiere,50,Peter Debruge,"If you were hoping to find another ""Nemo,"" you're likely to be let down by this insincere and borderline unpleasant alternative.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Los Angeles Times,50,Kenneth Turan,It does not have as much invigorating freshness as audiences have come to expect in computer animation.,
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Philadelphia Inquirer,50,Carrie Rickey,"Where Finding Nemo suggested that under-the-waves adventure was limitless, Shark Tale suggests that this sea is over-fished. The krill is gone.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Chicago Sun-Times,50,Roger Ebert,"The movie lacks a port of entry for young viewers -- a character they can identify with. All of the major characters are adults with adult problems like debt, romance, and running (or swimming away from) the mob.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",The Globe and Mail (Toronto),50,Liam Lacey,"Though Shark Tale will make waves at the multiplexes and move a lot of plastic toys at Burger King, the movie lacks real heart. It feels like a cold-blooded, always moving, profit-making machine.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Village Voice,40,Ed Park,"Shark Tale's shallow plot and leagues of padding put it fully in the shadow of last year's animated underwater offering, the nifty, heartfelt ""Finding Nemo.""",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",The A.V. Club,40,Scott Tobias,"Every single joke, character detail, music montage, and pop-culture reference looks extensively market-tested, whether via screenings, focus groups, or other box-office successes.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",L.A. Weekly,40,Ella Taylor,Falls prey to the lazy assumption that a parade of whiz-bang CGI will cover for the absence of a muscular story.,
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Dallas Observer,40,Robert Wilonsky,"It's stunning, really, to consider how much time and expense went into something so chintzy and dull--a script full of non sequiturs shouted by a screen full of chum.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Wall Street Journal,40,Joe Morgenstern,The story leaves you snoozing with the fishes.,
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",TV Guide Magazine,40,Maitland McDonagh,"One soggy, charmless heap of chum.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Austin Chronicle,40,Marc Savlov,"There&#146;s a surprising lack of surprises in DreamWorks&#146; answer to Disney/Pixar&#146;s runaway smash ""Finding Nemo.""",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Empire,40,Leslie Felperin,"Although the vocal performances often amuse and delight, the overall design is charmless.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Boston Globe,38,Ty Burr,"Where ""Nemo"" was clever, soulful, and marvelous to look at, ""Tale"" is manic and surprisingly ugly, with a script that leans on the shallowest aspects of hip-hop street cred while pimping for corporate product placement at every turn.",
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Washington Post,30,Desson Thomson,This movie just doesn't match its predecessors.,
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",New York Post,25,Lou Lumenick,A shipwreck. They say a dead fish stinks from the head first - but the animated shipwreck Shark Tale arrives reeking all over.,
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",Film Threat,20,Pete Vonder Haar,"Joyless, soulless.",
THE AMUSEMENT PARK,1973,George A. Romero,Slashfilm,100,Chris Evangelista,I can’t remember the last time a film shook me like this.,"Jun 4, 2021"
THE AMUSEMENT PARK,1973,George A. Romero,RogerEbert.com,100,Scout Tafoya,"Whatever the Lutherans thought they were paying for, they accidentally unleashed our most deeply cynical artist at the height of his ferocity toward the country's decaying morality, and wound up funding one of the most upsetting films of the '70s.","Jun 8, 2021"
